Year,ISO,Jurisdiction,Species group,Tenure (En),Volume (cubic metres) (En),Data qualifier
1990,AB,Alberta,Softwoods,Provincial land,14332244,a
1990,AB,Alberta,Hardwoods,Provincial land,10497719,a
1990,AB,Alberta,Unspecified,Provincial land,0,u
1990,AB,Alberta,Hardwoods,Federal land,0,u
1990,AB,Alberta,Softwoods,Federal land,0,u
1990,AB,Alberta,Unspecified,Federal land,0,u
1990,AB,Alberta,Unspecified,Federal land,897000,E
1990,BC,British Columbia,Hardwoods,Private land,461615,E
1990,BC,British Columbia,Softwoods,Private land,6736163,E
1990,BC,British Columbia,Softwoods,Private land regulated,2915700,a
1990,BC,British Columbia,Hardwoods,Private land regulated,0,a
1990,BC,British Columbia,Unspecified,Private land regulated,0,u
1990,BC,British Columbia,Softwoods,Provincial land,69218900,a
1990,BC,British Columbia,Hardwoods,Provincial land,2318000,a
1990,BC,British Columbia,Unspecified,Provincial land,0,u
1990,BC,British Columbia,Hardwoods,Federal land,0,u
1990,BC,British Columbia,Softwoods,Federal land,0,u
1990,BC,British Columbia,Unspecified,Federal land,0,u
1990,BC,British Columbia,Unspecified,Federal land,538000,E
1990,GC,Canada,Hardwoods,Federal land,0,u
1990,GC,Canada,Softwoods,Federal land,0,u
1990,GC,Canada,Unspecified,Federal land,3779100,E
1990,MB,Manitoba,Softwoods,Provincial land,5917580,a
1990,MB,Manitoba,Softwoods,Private land,40270,a
1990,MB,Manitoba,Hardwoods,Provincial land,2403380,a
1990,MB,Manitoba,Hardwoods,Private land,564300,a
1990,MB,Manitoba,Unspecified,Provincial land,0,u
1990,MB,Manitoba,Unspecified,Private land,0,u
1990,MB,Manitoba,Hardwoods,Federal land,0,u
1990,MB,Manitoba,Softwoods,Federal land,0,u
1990,MB,Manitoba,Unspecified,Federal land,0,u
1990,MB,Manitoba,Unspecified,Federal land,83500,E
1990,NB,New Brunswick,Softwoods,Provincial land,4330615,a
1990,NB,New Brunswick,Softwoods,Private land,3594230,a
