Year,Jurisdiction,Industry,"Nominal GDP (1,000 Dollars)","Real GDP (1,000 Dollars)"
2010,Canada,All industries,1559053000,1709229500
2010,Canada,Forestry and logging,3642000,4144917
2010,Canada,Pulp and paper manufacturing,8583000,9807917
2010,Canada,Wood product manufacturing,6813000,8823833
2010,Alberta,All industries,261591000,264882800
2010,Alberta,Forestry and logging,331300,345600
2010,Alberta,Pulp and paper manufacturing,583100,732400
2010,Alberta,Wood product manufacturing,912400,1243800
2010,British Columbia,All industries,190873500,213022300
2010,British Columbia,Forestry and logging,1499300,1930700
2010,British Columbia,Pulp and paper manufacturing,1336700,1456400
2010,British Columbia,Wood product manufacturing,2247300,2891300
2010,Manitoba,All industries,49508300,56288500
2010,Manitoba,Forestry and logging,22600,24900
2010,Manitoba,Pulp and paper manufacturing,90500,140500
2010,Manitoba,Wood product manufacturing,131900,149300
2010,New Brunswick,All industries,27752900,31556500
2010,New Brunswick,Forestry and logging,274200,255500
2010,New Brunswick,Pulp and paper manufacturing,423300,426000
2010,New Brunswick,Wood product manufacturing,274400,352300
2010,Newfoundland and Labrador,All industries,27183000,29828500
2010,Newfoundland and Labrador,Forestry and logging,52100,51700
2010,Newfoundland and Labrador,Pulp and paper manufacturing,40100,78800
2010,Newfoundland and Labrador,Wood product manufacturing,23300,24300
2010,Northwest Territories,All industries,4677900,4448600
2010,Northwest Territories,Forestry and logging,200,100
2010,Northwest Territories,Pulp and paper manufacturing,0,0
2010,Northwest Territories,Wood product manufacturing,0,0
2010,Nova Scotia,All industries,33591000,37681800
2010,Nova Scotia,Forestry and logging,88500,99000
2010,Nova Scotia,Pulp and paper manufacturing,267300,170800
2010,Nova Scotia,Wood product manufacturing,152700,129700
2010,Nunavut,All industries,1890400,2121000
2010,Nunavut,Forestry and logging,0,0
2010,Nunavut,Pulp and paper manufacturing,0,0
2010,Nunavut,Wood product manufacturing,0,0
2010,Ontario,All industries,587627900,654982600
2010,Ontario,Forestry and logging,416600,458900
2010,Ontario,Pulp and paper manufacturing,2893800,3160900
2010,Ontario,Wood product manufacturing,1104800,1414000
2010,Prince Edward Island,All industries,4762200,5405200
2010,Prince Edward Island,Forestry and logging,4300,4800
2010,Prince Edward Island,Pulp and paper manufacturing,12900,21700
2010,Prince Edward Island,Wood product manufacturing,6600,6800
2010,Quebec,All industries,306664500,343887300
2010,Quebec,Forestry and logging,907900,919300
2010,Quebec,Pulp and paper manufacturing,2894300,3564100
2010,Quebec,Wood product manufacturing,1859100,2464700
2010,Saskatchewan,All industries,59948600,63970000
2010,Saskatchewan,Forestry and logging,44200,44000
2010,Saskatchewan,Pulp and paper manufacturing,41300,74400
2010,Saskatchewan,Wood product manufacturing,99500,92900
2010,Yukon,All industries,2227000,2470300
2010,Yukon,Forestry and logging,600,1500
2010,Yukon,Pulp and paper manufacturing,0,0
2010,Yukon,Wood product manufacturing,900,1200
2011,Canada,All industries,1662359000,1764972083
2011,Canada,Forestry and logging,3850000,4560083
2011,Canada,Pulp and paper manufacturing,8178000,9447083
2011,Canada,Wood product manufacturing,6529000,9049083
2011,Alberta,All industries,289920600,282733400
2011,Alberta,Forestry and logging,369800,386000
2011,Alberta,Pulp and paper manufacturing,578200,668200
2011,Alberta,Wood product manufacturing,975200,1437200
2011,British Columbia,All industries,202033200,219107400
2011,British Columbia,Forestry and logging,1726500,2284300
2011,British Columbia,Pulp and paper manufacturing,1540900,1502100
2011,British Columbia,Wood product manufacturing,2140800,3051500
2011,Manitoba,All industries,52461700,57583900
2011,Manitoba,Forestry and logging,25700,27400
2011,Manitoba,Pulp and paper manufacturing,85900,133300
2011,Manitoba,Wood product manufacturing,127500,151100
2011,New Brunswick,All industries,28908500,31624300
2011,New Brunswick,Forestry and logging,258600,250200
2011,New Brunswick,Pulp and paper manufacturing,407400,395400
