Year,Jurisdiction,Housing starts (total units)
2010,Canada,189930
2010,Alberta,27088
2010,British Columbia,26479
2010,Manitoba,5888
2010,New Brunswick,4101
2010,Newfoundland and Labrador,3606
2010,Nova Scotia,4309
2010,Ontario,60433
2010,Prince Edward Island,756
2010,Quebec,51363
2010,Saskatchewan,5907
2011,Canada,193950
2011,Alberta,25704
2011,British Columbia,26400
2011,Manitoba,6083
2011,New Brunswick,3452
2011,Newfoundland and Labrador,3488
2011,Nova Scotia,4644
2011,Ontario,67821
2011,Prince Edward Island,940
2011,Quebec,48387
2011,Saskatchewan,7031
2012,Canada,214827
2012,Alberta,33396
2012,British Columbia,27465
2012,Manitoba,7242
2012,New Brunswick,3299
2012,Newfoundland and Labrador,3885
2012,Nova Scotia,4522
2012,Ontario,76742
2012,Prince Edward Island,941
2012,Quebec,47367
2012,Saskatchewan,9968
2013,Canada,187923
2013,Alberta,36011
2013,British Columbia,27054
2013,Manitoba,7465
2013,New Brunswick,2843
2013,Newfoundland and Labrador,2862
2013,Nova Scotia,3919
2013,Ontario,61085
2013,Prince Edward Island,636
2013,Quebec,37758
2013,Saskatchewan,8290
2014,Canada,189329
2014,Alberta,40590
2014,British Columbia,28356
2014,Manitoba,6220
2014,New Brunswick,2276
2014,Newfoundland and Labrador,2119
2014,Nova Scotia,3056
2014,Ontario,59134
2014,Prince Edward Island,511
2014,Quebec,38810
2014,Saskatchewan,8257
2015,Canada,195535
2015,Alberta,37282
2015,British Columbia,31446
2015,Manitoba,5501
2015,New Brunswick,1995
2015,Newfoundland and Labrador,1697
2015,Nova Scotia,3825
2015,Ontario,70156
2015,Prince Edward Island,558
2015,Quebec,37926
2015,Saskatchewan,5149
2016,Canada,197916
2016,Alberta,24533
2016,British Columbia,41843
2016,Manitoba,5319
2016,New Brunswick,1838
2016,Newfoundland and Labrador,1398
2016,Nova Scotia,3767
2016,Ontario,74952
2016,Prince Edward Island,556
2016,Quebec,38935
2016,Saskatchewan,4775
2017,Canada,219763
2017,Alberta,29457
2017,British Columbia,43664
2017,Manitoba,7501
2017,New Brunswick,2324
2017,Newfoundland and Labrador,1400
2017,Nova Scotia,3984
2017,Ontario,79123
2017,Prince Edward Island,911
2017,Quebec,46495
2017,Saskatchewan,4904
2018,Canada,212843
2018,Alberta,26085
2018,British Columbia,40857
2018,Manitoba,7376
2018,New Brunswick,2328
2018,Newfoundland and Labrador,1096
2018,Nova Scotia,4786
2018,Ontario,78742
2018,Prince Edward Island,1089
2018,Quebec,46874
2018,Saskatchewan,3610
2019,Canada,208685
2019,Alberta,27325
2019,British Columbia,44932
2019,Manitoba,6946
2019,New Brunswick,2935
2019,Newfoundland and Labrador,945
2019,Nova Scotia,4719
2019,Ontario,68985
2019,Prince Edward Island,1504
2019,Quebec,47967
2019,Saskatchewan,2427
2020,Canada,217880
2020,Alberta,24023
2020,British Columbia,37734
2020,Manitoba,7314
2020,New Brunswick,3483
2020,Newfoundland and Labrador,763
2020,Nova Scotia,4865
2020,Ontario,81305
2020,Prince Edward Island,1240
2020,Quebec,54066
2020,Saskatchewan,3087
2021,Canada,271198
2021,Alberta,31935
2021,British Columbia,47607
2021,Manitoba,8023
2021,New Brunswick,3829
2021,Newfoundland and Labrador,1021
2021,Nova Scotia,5975
2021,Ontario,99566
2021,Prince Edward Island,1260
2021,Quebec,67810
2021,Saskatchewan,4172
2022,Canada,261849
2022,Alberta,36544
2022,British Columbia,46721
2022,Manitoba,8095
2022,New Brunswick,4680
2022,Newfoundland and Labrador,1379
2022,Nova Scotia,5714
2022,Ontario,96080
2022,Prince Edward Island,1318
2022,Quebec,57107
2022,Saskatchewan,4211
2023,Canada,240267
2023,Alberta,36022
2023,British Columbia,50490
2023,Manitoba,7104
2023,New Brunswick,4547
2023,Newfoundland and Labrador,978
2023,Nova Scotia,7159
2023,Ontario,89297
2023,Prince Edward Island,1139
2023,Quebec,38912
2023,Saskatchewan,4619
