Year,Jurisdiciton,Capital and repair expenditures,Measure,"Value (1,000 dollars)"
2006,Canada,Capital expenditures,Forestry and logging,282900
2006,Canada,Capital expenditures,Paper manufacturing,1086600
2006,Canada,Capital expenditures,Wood product manufacturing,1299600
2006,Canada,Repair expenditures,Forestry and logging,409400
2006,Canada,Repair expenditures,Paper manufacturing,1691100
2006,Canada,Repair expenditures,Wood product manufacturing,1383700
2007,Canada,Capital expenditures,Forestry and logging,168800
2007,Canada,Capital expenditures,Paper manufacturing,1058600
2007,Canada,Capital expenditures,Wood product manufacturing,942400
2007,Canada,Repair expenditures,Forestry and logging,344300
2007,Canada,Repair expenditures,Paper manufacturing,1554500
2007,Canada,Repair expenditures,Wood product manufacturing,1237100
2008,Canada,Capital expenditures,Forestry and logging,206000
2008,Canada,Capital expenditures,Paper manufacturing,942200
2008,Canada,Capital expenditures,Wood product manufacturing,713000
2008,Canada,Repair expenditures,Forestry and logging,334800
2008,Canada,Repair expenditures,Paper manufacturing,1485700
2008,Canada,Repair expenditures,Wood product manufacturing,1167100
2009,Canada,Capital expenditures,Forestry and logging,140300
2009,Canada,Capital expenditures,Paper manufacturing,500000
2009,Canada,Capital expenditures,Wood product manufacturing,398300
2009,Canada,Repair expenditures,Forestry and logging,408500
2009,Canada,Repair expenditures,Paper manufacturing,1356200
2009,Canada,Repair expenditures,Wood product manufacturing,964900
2010,Canada,Capital expenditures,Forestry and logging,168300
2010,Canada,Capital expenditures,Paper manufacturing,566500
2010,Canada,Capital expenditures,Wood product manufacturing,610400
2010,Canada,Repair expenditures,Forestry and logging,324300
2010,Canada,Repair expenditures,Paper manufacturing,1388100
2010,Canada,Repair expenditures,Wood product manufacturing,870300
2011,Canada,Capital expenditures,Forestry and logging,190400
2011,Canada,Capital expenditures,Paper manufacturing,952100
2011,Canada,Capital expenditures,Wood product manufacturing,409600
2011,Canada,Repair expenditures,Forestry and logging,259300
2011,Canada,Repair expenditures,Paper manufacturing,1444100
2011,Canada,Repair expenditures,Wood product manufacturing,902700
2012,Canada,Capital expenditures,Forestry and logging,258400
2012,Canada,Capital expenditures,Paper manufacturing,896400
2012,Canada,Capital expenditures,Wood product manufacturing,276200
