Year,Jurisdiction,Export market,Value (dollars)
2000,Canada,Africa,36157187
2000,Canada,China,648839044
2000,Canada,Eurpoean Union,3869675367
2000,Canada,India,172059229
2000,Canada,Japan,3535494151
2000,Canada,Middle East,256294620
2000,Canada,Oceania,227963101
2000,Canada,Other,896097955
2000,Canada,South & Central America,776179882
2000,Canada,South Korea,689817193
2000,Canada,Taiwan,339684328
2000,Canada,United States,36272393177
2000,Alberta,Africa,37855
2000,Alberta,China,45698705
2000,Alberta,Eurpoean Union,320191821
2000,Alberta,India,638821
2000,Alberta,Japan,388866381
2000,Alberta,Middle East,252597
2000,Alberta,Oceania,1648093
2000,Alberta,Other,49365433
2000,Alberta,South & Central America,14008300
2000,Alberta,South Korea,229627183
2000,Alberta,Taiwan,54939933
2000,Alberta,United States,2105565814
2000,British Columbia,Africa,14846785
2000,British Columbia,China,442142150
2000,British Columbia,Eurpoean Union,1938574877
2000,British Columbia,India,67417207
2000,British Columbia,Japan,2928385161
2000,British Columbia,Middle East,71739847
2000,British Columbia,Oceania,209680392
2000,British Columbia,Other,577640635
2000,British Columbia,South & Central America,182688896
2000,British Columbia,South Korea,402106151
2000,British Columbia,Taiwan,231416922
2000,British Columbia,United States,9237559583
2000,Manitoba,Africa,1410253
2000,Manitoba,Eurpoean Union,2871195
2000,Manitoba,Japan,5641904
2000,Manitoba,Middle East,16620042
2000,Manitoba,Oceania,9588
2000,Manitoba,Other,1708627
2000,Manitoba,South & Central America,4005615
2000,Manitoba,South Korea,2284481
2000,Manitoba,Taiwan,178024
2000,Manitoba,United States,614473855
2000,New Brunswick,Africa,43120
2000,New Brunswick,China,9013805
2000,New Brunswick,Eurpoean Union,204339595
2000,New Brunswick,India,5753348
2000,New Brunswick,Japan,120824369
2000,New Brunswick,Middle East,29194483
2000,New Brunswick,Oceania,750495
2000,New Brunswick,Other,27572918
2000,New Brunswick,South & Central America,59592614
2000,New Brunswick,South Korea,19585967
2000,New Brunswick,Taiwan,1775729
2000,New Brunswick,United States,2388057307
2000,Newfoundland and Labrador,Africa,5059459
2000,Newfoundland and Labrador,China,110338
2000,Newfoundland and Labrador,Eurpoean Union,162054264
2000,Newfoundland and Labrador,India,12594512
2000,Newfoundland and Labrador,Japan,3341130
2000,Newfoundland and Labrador,Middle East,21348313
2000,Newfoundland and Labrador,Other,3473429
2000,Newfoundland and Labrador,South & Central America,87311873
2000,Newfoundland and Labrador,South Korea,1500
2000,Newfoundland and Labrador,United States,389708558
2000,Northwest Territories,United States,4370707
2000,Nova Scotia,Africa,36983
2000,Nova Scotia,China,51906
2000,Nova Scotia,Eurpoean Union,144913726
2000,Nova Scotia,India,487014
2000,Nova Scotia,Japan,13046172
2000,Nova Scotia,Middle East,1799169
2000,Nova Scotia,Other,45579062
2000,Nova Scotia,South & Central America,123976029
2000,Nova Scotia,South Korea,71029
2000,Nova Scotia,Taiwan,1707123
2000,Nova Scotia,United States,752094030
2000,Ontario,Africa,1814058
2000,Ontario,China,5229774
2000,Ontario,Eurpoean Union,137832676
2000,Ontario,India,519937
2000,Ontario,Japan,9813606
2000,Ontario,Middle East,26278209
2000,Ontario,Oceania,5957659
2000,Ontario,Other,23492565
2000,Ontario,South & Central America,63210623
2000,Ontario,South Korea,13363062
2000,Ontario,Taiwan,2879835
2000,Ontario,United States,9480730900
2000,Prince Edward Island,Eurpoean Union,55498
2000,Prince Edward Island,Other,8431
2000,Prince Edward Island,United States,17721922
2000,Quebec,Africa,12908674
2000,Quebec,China,89293405
2000,Quebec,Eurpoean Union,863338267
2000,Quebec,India,83294176
2000,Quebec,Japan,29881797
2000,Quebec,Middle East,89061960
2000,Quebec,Oceania,9916687
2000,Quebec,Other,147826531
2000,Quebec,South & Central America,224169505
2000,Quebec,South Korea,8059158
2000,Quebec,Taiwan,31866013
2000,Quebec,United States,10638620319
2000,Saskatchewan,China,57298961
2000,Saskatchewan,Eurpoean Union,95503448
2000,Saskatchewan,India,1354214
2000,Saskatchewan,Japan,35693631
2000,Saskatchewan,Oceania,187
2000,Saskatchewan,Other,19430324
2000,Saskatchewan,South & Central America,17216427
2000,Saskatchewan,South Korea,14718662
2000,Saskatchewan,Taiwan,14920749
2000,Saskatchewan,United States,631606352
2000,Yukon,United States,11883830
2001,Canada,Africa,30672286
2001,Canada,China,655770766
2001,Canada,Eurpoean Union,2962037138
2001,Canada,India,166317854
2001,Canada,Japan,2792716768
2001,Canada,Middle East,262373030
2001,Canada,Oceania,133356915
2001,Canada,Other,558734377
2001,Canada,South & Central America,853170929
2001,Canada,South Korea,466961948
2001,Canada,Taiwan,269561908
2001,Canada,United States,35624431318
