Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2000,Canada,Exports,Primary Wood Products,Logs (cubic metres),2842850
2000,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),64612
2000,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),8723185
2000,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7113947
2000,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),11902994
2000,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1471657
2000,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),6931935
2000,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),1112095
2000,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),949976
2000,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),48791008
2000,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),298341756
2000,Alberta,Exports,Primary Wood Products,Logs (cubic metres),159830
2000,Alberta,Exports,Primary Wood Products,Pulpwood (cubic metres),64
2000,Alberta,Exports,Pulp and Paper Products,Newsprint (tonnes),183678
2000,Alberta,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),47274
2000,Alberta,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1941881
2000,Alberta,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),43329
2000,Alberta,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1181083
2000,Alberta,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),28784
2000,Alberta,Exports,Wood-Fabricated Materials,Plywood (cubic metres),32345
2000,Alberta,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3080240
2000,Alberta,Exports,Wood-Fabricated Materials,Veneer (square metres),9863970
2000,British Columbia,Exports,Primary Wood Products,Logs (cubic metres),2337507
2000,British Columbia,Exports,Primary Wood Products,Pulpwood (cubic metres),7231
2000,British Columbia,Exports,Pulp and Paper Products,Newsprint (tonnes),1117449
2000,British Columbia,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),1412158
2000,British Columbia,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),5161848
2000,British Columbia,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),102827
2000,British Columbia,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1348620
2000,British Columbia,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),192132
2000,British Columbia,Exports,Wood-Fabricated Materials,Plywood (cubic metres),544271
2000,British Columbia,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),25218895
2000,British Columbia,Exports,Wood-Fabricated Materials,Veneer (square metres),148291367
2000,Manitoba,Exports,Primary Wood Products,Logs (cubic metres),3380
2000,Manitoba,Exports,Primary Wood Products,Pulpwood (cubic metres),552
2000,Manitoba,Exports,Pulp and Paper Products,Newsprint (tonnes),127410
2000,Manitoba,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),123967
2000,Manitoba,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),110
2000,Manitoba,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),16294
2000,Manitoba,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),327370
2000,Manitoba,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),39588
2000,Manitoba,Exports,Wood-Fabricated Materials,Plywood (cubic metres),297
2000,Manitoba,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),736881
2000,Manitoba,Exports,Wood-Fabricated Materials,Veneer (square metres),23316
2000,New Brunswick,Exports,Primary Wood Products,Logs (cubic metres),14230
2000,New Brunswick,Exports,Pulp and Paper Products,Newsprint (tonnes),425223
2000,New Brunswick,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),736006
2000,New Brunswick,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),884016
2000,New Brunswick,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),57886
2000,New Brunswick,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),301370
2000,New Brunswick,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),54834
2000,New Brunswick,Exports,Wood-Fabricated Materials,Plywood (cubic metres),2821
2000,New Brunswick,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3516034
2000,New Brunswick,Exports,Wood-Fabricated Materials,Veneer (square metres),1309889
