Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2000,Canada,Exports,Primary Wood Products,Logs (cubic metres),482583486
2000,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),5345182
2000,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),7210037133
2000,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7412225695
2000,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9890681681
2000,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),694995830
2000,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2022081393
2000,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),294133010
2000,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),550019607
2000,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),11590643605
2000,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),430858987
2001,Canada,Exports,Primary Wood Products,Logs (cubic metres),478409582
2001,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),2845506
2001,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),7242802734
2001,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7645859778
2001,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7344881508
2001,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),636321634
2001,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1691279909
2001,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),327255408
2001,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),585480983
2001,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),11066966161
2001,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),430096948
2002,Canada,Exports,Primary Wood Products,Logs (cubic metres),623653424
2002,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),6426207
2002,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),6331184495
2002,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7577514835
2002,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6998821026
2002,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),643014511
2002,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1771509237
2002,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),321350521
2002,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),632318357
2002,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),10363161665
2002,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),452144024
2003,Canada,Exports,Primary Wood Products,Logs (cubic metres),547699779
2003,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),12280172
2003,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),5644172834
2003,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6747053196
2003,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6874611232
2003,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),608345285
2003,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2761137981
2003,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),297635087
2003,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),577879147
2003,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8461992352
2003,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),464094919
2004,Canada,Exports,Primary Wood Products,Logs (cubic metres),507593901
2004,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),9937258
2004,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),5310967683
2004,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7373143275
2004,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7206720387
2004,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),653959932
2004,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3783603697
2004,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),291829330
2004,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),650670974
2004,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),11019199744
2004,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),558572615
2005,Canada,Exports,Primary Wood Products,Logs (cubic metres),604638350
2005,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),13227328
2005,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),5263927911
2005,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7338652610
