Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2000,Canada,Imports,Primary Wood Products,Logs (cubic metres),4207988
2000,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),2291539
2000,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),41207
2000,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3490794
2000,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),273932
2000,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1182023
2000,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),111528
2000,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),378252
2000,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),365334
2000,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),769258
2000,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),116136538
2000,Alberta,Imports,Primary Wood Products,Logs (cubic metres),3987
2000,Alberta,Imports,Pulp and Paper Products,Newsprint (tonnes),28
2000,Alberta,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),84372
2000,Alberta,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),39144
2000,Alberta,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),18710
2000,Alberta,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),11406
2000,Alberta,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),14700
2000,Alberta,Imports,Wood-Fabricated Materials,Plywood (cubic metres),5035
2000,Alberta,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),2518
2000,Alberta,Imports,Wood-Fabricated Materials,Veneer (square metres),238937
2000,British Columbia,Imports,Primary Wood Products,Logs (cubic metres),49970
2000,British Columbia,Imports,Primary Wood Products,Pulpwood (cubic metres),572777
2000,British Columbia,Imports,Pulp and Paper Products,Newsprint (tonnes),10780
2000,British Columbia,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),210143
