Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2000,Canada,Imports,Primary Wood Products,Logs (cubic metres),448673564
2000,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),129724565
2000,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),34121619
2000,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2956617038
2000,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),230331086
2000,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),596809059
2000,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),46084403
2000,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),115826381
2000,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),164193875
2000,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),237082687
2000,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),240714896
2001,Canada,Imports,Primary Wood Products,Logs (cubic metres),462480504
2001,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),142985629
2001,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),36792967
2001,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2955679957
2001,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),215607640
2001,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),533929502
2001,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),44120506
2001,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),80733019
2001,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),155899057
2001,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),167064422
2001,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),236428155
2002,Canada,Imports,Primary Wood Products,Logs (cubic metres),477731716
2002,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),114073666
2002,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),38458985
2002,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3354860211
2002,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),209120578
2002,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),575693017
2002,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),52489864
2002,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),107603403
2002,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),194766659
2002,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),162548012
2002,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),271238838
2003,Canada,Imports,Primary Wood Products,Logs (cubic metres),475504588
2003,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),53073163
2003,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),47063825
2003,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3223414392
2003,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),193052250
2003,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),583729773
2003,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),42553034
2003,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),84466551
2003,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),183987393
2003,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),156531506
2003,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),254849560
2004,Canada,Imports,Primary Wood Products,Logs (cubic metres),482402388
2004,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),51692727
2004,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),45342759
2004,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3176790987
2004,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),195341348
2004,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),576088758
2004,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),42683005
2004,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),68275264
2004,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),244226694
2004,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),153528892
2004,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),253338089
2005,Canada,Imports,Primary Wood Products,Logs (cubic metres),480300714
2005,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),33324408
2005,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),51443495
2005,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3159177851
2005,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),220468106
2005,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),516315146
2005,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),38816264
2005,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),56086452
2005,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),214451294
2005,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),150055352
2005,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),226945714
2006,Canada,Imports,Primary Wood Products,Logs (cubic metres),425929880
2006,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),41614230
2006,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),39274623
2006,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3272844148
2006,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),168941759
2006,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),476284839
2006,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),39657958
2006,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),107275366
2006,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),242241075
2006,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),160032806
2006,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),224443146
2007,Canada,Imports,Primary Wood Products,Logs (cubic metres),325194728
2007,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),50230275
2007,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),40124390
2007,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3224424165
2007,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),168168439
2007,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),421259114
2007,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),31510059
2007,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),88397381
2007,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),267971900
2007,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),157679887
2007,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),215376137
2008,Canada,Imports,Primary Wood Products,Logs (cubic metres),286591771
2008,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),35055126
2008,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),59338426
2008,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3191058029
2008,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),184301527
2008,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),340202196
2008,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),40221269
2008,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),71668825
2008,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),272953607
2008,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),166560349
2008,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),169908439
2009,Canada,Imports,Primary Wood Products,Logs (cubic metres),289074182
