Year,Jurisdiction,Commodity,Trade type,Unit of measure,Value (dollars),Quantity
2000,Canada,Maple sugar,Exports,Metric Tonne,1774378,248
2000,Canada,Maple sugar,Imports,Metric Tonne,28014,4
2000,Canada,Maple syrup,Exports,Liters,104131447,19101807
2000,Canada,Maple syrup,Imports,Liters,1412579,357094
2001,Canada,Maple sugar,Exports,Metric Tonne,1091952,112
2001,Canada,Maple sugar,Imports,Metric Tonne,78123,16
2001,Canada,Maple syrup,Exports,Liters,127547147,20912239
2001,Canada,Maple syrup,Imports,Liters,2660002,609360
2002,Canada,Maple sugar,Exports,Metric Tonne,1504133,259
2002,Canada,Maple sugar,Imports,Metric Tonne,221095,36
2002,Canada,Maple syrup,Exports,Liters,152481488,22722837
2002,Canada,Maple syrup,Imports,Liters,3355120,623038
2003,Canada,Maple sugar,Exports,Metric Tonne,1575101,206
2003,Canada,Maple sugar,Imports,Metric Tonne,103305,14
2003,Canada,Maple syrup,Exports,Liters,145667030,22513917
2003,Canada,Maple syrup,Imports,Liters,3568218,641331
2004,Canada,Maple sugar,Exports,Metric Tonne,2152132,305
2004,Canada,Maple sugar,Imports,Metric Tonne,108280,13
2004,Canada,Maple syrup,Exports,Liters,152028610,23336867
2004,Canada,Maple syrup,Imports,Liters,5337938,1006331
2005,Canada,Maple sugar,Exports,Metric Tonne,1928828,243
2005,Canada,Maple sugar,Imports,Metric Tonne,290301,38
2005,Canada,Maple syrup,Exports,Liters,163484057,24479653
2005,Canada,Maple syrup,Imports,Liters,4035402,854997
2006,Canada,Maple sugar,Exports,Metric Tonne,3087928,383
2006,Canada,Maple sugar,Imports,Metric Tonne,169508,24
2006,Canada,Maple syrup,Exports,Liters,187535856,27000235
2006,Canada,Maple syrup,Imports,Liters,5104867,1080064
2007,Canada,Maple sugar,Exports,Metric Tonne,4094745,493
2007,Canada,Maple sugar,Imports,Metric Tonne,14808,3
2007,Canada,Maple syrup,Exports,Liters,213536247,30440366
2007,Canada,Maple syrup,Imports,Liters,1195368,329451
2008,Canada,Maple sugar,Exports,Metric Tonne,6074671,428
2008,Canada,Maple sugar,Imports,Metric Tonne,91325,25
2008,Canada,Maple syrup,Exports,Liters,227664178,25605019
2008,Canada,Maple syrup,Imports,Liters,5459298,718177
2009,Canada,Maple sugar,Exports,Metric Tonne,4806516,400
2009,Canada,Maple sugar,Imports,Metric Tonne,338988,148
2009,Canada,Maple syrup,Exports,Liters,247921649,25586426
2009,Canada,Maple syrup,Imports,Liters,9972300,1229635
2010,Canada,Maple sugar,Exports,Metric Tonne,4679425,348
2010,Canada,Maple sugar,Imports,Metric Tonne,20160,4
2010,Canada,Maple syrup,Exports,Liters,226618788,24416107
2010,Canada,Maple syrup,Imports,Liters,8633117,1116675
2011,Canada,Maple sugar,Exports,Metric Tonne,4021785,302
2011,Canada,Maple sugar,Imports,Metric Tonne,81535,15
2011,Canada,Maple syrup,Exports,Liters,238099142,25208268
2011,Canada,Maple syrup,Imports,Liters,11235378,1420095
2012,Canada,Maple sugar,Exports,Metric Tonne,4957450,409
2012,Canada,Maple sugar,Imports,Metric Tonne,201318,31
2012,Canada,Maple syrup,Exports,Liters,244426500,25860477
2012,Canada,Maple syrup,Imports,Liters,8306640,1086487
2013,Canada,Maple sugar,Exports,Metric Tonne,6405953,577
2013,Canada,Maple sugar,Imports,Metric Tonne,101859,15
2013,Canada,Maple syrup,Exports,Liters,271536362,27153482
2013,Canada,Maple syrup,Imports,Liters,11951512,1422217
2014,Canada,Maple sugar,Exports,Metric Tonne,5614694,457
2014,Canada,Maple sugar,Imports,Metric Tonne,495794,79
2014,Canada,Maple syrup,Exports,Liters,304179624,28726207
2014,Canada,Maple syrup,Imports,Liters,11997941,1563553
2015,Canada,Maple sugar,Exports,Metric Tonne,5742134,351
2015,Canada,Maple sugar,Imports,Metric Tonne,1001916,139
2015,Canada,Maple syrup,Exports,Liters,353799942,31696895
2015,Canada,Maple syrup,Imports,Liters,12620050,1598930
2016,Canada,Maple sugar,Exports,Metric Tonne,6268297,506
2016,Canada,Maple sugar,Imports,Metric Tonne,712383,67
2016,Canada,Maple syrup,Exports,Liters,375139712,33778467
2016,Canada,Maple syrup,Imports,Liters,21268034,2624203
2017,Canada,Maple sugar,Exports,Metric Tonne,11473410,1066
2017,Canada,Maple sugar,Imports,Metric Tonne,702800,59
2017,Canada,Maple syrup,Exports,Liters,369868403,33964346
2017,Canada,Maple syrup,Imports,Liters,16375114,2194522
2018,Canada,Maple sugar,Exports,Metric Tonne,9090786,829
2018,Canada,Maple sugar,Imports,Metric Tonne,723821,111
2018,Canada,Maple syrup,Exports,Liters,396558567,36025554
2018,Canada,Maple syrup,Imports,Liters,14056615,1815043
2019,Canada,Maple sugar,Exports,Metric Tonne,8976911,756
2019,Canada,Maple sugar,Imports,Metric Tonne,284754,49
2019,Canada,Maple syrup,Exports,Liters,420967337,37851950
2019,Canada,Maple syrup,Imports,Liters,14424349,1927249
2020,Canada,Maple sugar,Exports,Metric Tonne,14257177,1324
2020,Canada,Maple sugar,Imports,Metric Tonne,35278,8
2020,Canada,Maple syrup,Exports,Liters,501759307,45502776
