Year,Jurisdiction,Commodity Group,Import value (dollars),Export value (dollars),Balance of trade (dollars)
2000,Canada,Primary Wood Products,705890364,738744021,32853657
2000,Canada,Pulp and Paper Products,6832099423,27865092589,21032993166
2000,Canada,Wood-Fabricated Materials,2432885441,19116818624,16683933183
2000,Alberta,Primary Wood Products,1060259,40320536,39260277
2000,Alberta,Pulp and Paper Products,171161790,1904378662,1733216872
2000,Alberta,Wood-Fabricated Materials,64631409,1266141738,1201510329
2000,British Columbia,Primary Wood Products,117252767,491880210,374627443
2000,British Columbia,Pulp and Paper Products,602960598,6940851125,6337890527
2000,British Columbia,Wood-Fabricated Materials,520821789,8871467271,8350645482
2000,Manitoba,Primary Wood Products,3331461,6598249,3266788
2000,Manitoba,Pulp and Paper Products,279404130,276786138,-2617992
2000,Manitoba,Wood-Fabricated Materials,89312020,365819197,276507177
2000,New Brunswick,Primary Wood Products,71769297,5382135,-66387162
2000,New Brunswick,Pulp and Paper Products,138640804,1878748915,1740108111
2000,New Brunswick,Wood-Fabricated Materials,64063021,982372700,918309679
2000,Newfoundland and Labrador,Primary Wood Products,1571,0,-1571
2000,Newfoundland and Labrador,Pulp and Paper Products,17791496,654200315,636408819
2000,Newfoundland and Labrador,Wood-Fabricated Materials,365580,30803061,30437481
2000,Northwest Territories,Primary Wood Products,0,12129,12129
2000,Northwest Territories,Pulp and Paper Products,372,0,-372
2000,Northwest Territories,Wood-Fabricated Materials,0,4358578,4358578
2000,Nova Scotia,Primary Wood Products,36615,20915312,20878697
2000,Nova Scotia,Pulp and Paper Products,17843308,786821052,768977744
2000,Nova Scotia,Wood-Fabricated Materials,8443400,276025879,267582479
2000,Ontario,Primary Wood Products,124674181,120083722,-4590459
2000,Ontario,Pulp and Paper Products,4519712761,6795404814,2275692053
2000,Ontario,Wood-Fabricated Materials,1252757353,2855634368,1602877015
2000,Prince Edward Island,Primary Wood Products,48360,32183,-16177
2000,Prince Edward Island,Pulp and Paper Products,37012,1750879,1713867
2000,Prince Edward Island,Wood-Fabricated Materials,184001,16002789,15818788
2000,Quebec,Primary Wood Products,387544268,48151409,-339392859
2000,Quebec,Pulp and Paper Products,1026766227,7976717874,6949951647
2000,Quebec,Wood-Fabricated Materials,394615120,4203367209,3808752089
2000,Saskatchewan,Primary Wood Products,166921,5227849,5060928
2000,Saskatchewan,Pulp and Paper Products,57779580,649432815,591653235
2000,Saskatchewan,Wood-Fabricated Materials,37682645,233082291,195399646
2000,Yukon,Primary Wood Products,4664,140287,135623
2000,Yukon,Pulp and Paper Products,1345,0,-1345
2000,Yukon,Wood-Fabricated Materials,9103,11743543,11734440
2001,Canada,Primary Wood Products,714633900,769354946,54721046
2001,Canada,Pulp and Paper Products,6854267794,25747593394,18893325600
2001,Canada,Wood-Fabricated Materials,2296866668,18259156897,15962290229
2001,Alberta,Primary Wood Products,534421,25562238,25027817
2001,Alberta,Pulp and Paper Products,185032492,1600640299,1415607807
2001,Alberta,Wood-Fabricated Materials,62150817,1230814632,1168663815
2001,British Columbia,Primary Wood Products,84128987,521733847,437604860
2001,British Columbia,Pulp and Paper Products,656647662,5569275416,4912627754
2001,British Columbia,Wood-Fabricated Materials,478512769,8527173756,8048660987
2001,Manitoba,Primary Wood Products,1606751,3408230,1801479
2001,Manitoba,Pulp and Paper Products,281281675,259533795,-21747880
2001,Manitoba,Wood-Fabricated Materials,94241270,330728909,236487639
2001,New Brunswick,Primary Wood Products,110111832,7947682,-102164150
2001,New Brunswick,Pulp and Paper Products,122503874,1551363430,1428859556
2001,New Brunswick,Wood-Fabricated Materials,58465205,904653073,846187868
2001,Newfoundland and Labrador,Primary Wood Products,5,0,-5
2001,Newfoundland and Labrador,Pulp and Paper Products,16455241,688937038,672481797
2001,Newfoundland and Labrador,Wood-Fabricated Materials,301658,30376403,30074745
2001,Northwest Territories,Primary Wood Products,1532,146002,144470
2001,Northwest Territories,Pulp and Paper Products,5235,0,-5235
2001,Northwest Territories,Wood-Fabricated Materials,0,926431,926431
2001,Nova Scotia,Primary Wood Products,32785,26146395,26113610
2001,Nova Scotia,Pulp and Paper Products,22052684,864981205,842928521
2001,Nova Scotia,Wood-Fabricated Materials,12097336,247648004,235550668
2001,Ontario,Primary Wood Products,110217745,128709784,18492039
2001,Ontario,Pulp and Paper Products,4495703270,6583898159,2088194889
2001,Ontario,Wood-Fabricated Materials,1173698101,2774369207,1600671106
2001,Prince Edward Island,Primary Wood Products,40038,8170,-31868
2001,Prince Edward Island,Pulp and Paper Products,17985,1375039,1357054
2001,Prince Edward Island,Wood-Fabricated Materials,27536,13330772,13303236
2001,Quebec,Primary Wood Products,407515285,50622408,-356892877
2001,Quebec,Pulp and Paper Products,997646898,8131046932,7133400034
2001,Quebec,Wood-Fabricated Materials,382416065,4040906704,3658490639
2001,Saskatchewan,Primary Wood Products,444519,4598757,4154238
2001,Saskatchewan,Pulp and Paper Products,76920682,496542081,419621399
2001,Saskatchewan,Wood-Fabricated Materials,34907668,155702500,120794832
2001,Yukon,Primary Wood Products,0,471433,471433
2001,Yukon,Pulp and Paper Products,96,0,-96
2001,Yukon,Wood-Fabricated Materials,48243,2526506,2478263
2002,Canada,Primary Wood Products,701428489,913360680,211932191
2002,Canada,Pulp and Paper Products,7086824258,24288088901,17201264643
2002,Canada,Wood-Fabricated Materials,2677864757,18002925220,15325060463
2002,Alberta,Primary Wood Products,727990,31479710,30751720
2002,Alberta,Pulp and Paper Products,172518160,1519140168,1346622008
2002,Alberta,Wood-Fabricated Materials,61924478,1234938780,1173014302
2002,British Columbia,Primary Wood Products,77061993,650803542,573741549
2002,British Columbia,Pulp and Paper Products,636227025,5075141021,4438913996
2002,British Columbia,Wood-Fabricated Materials,536922748,8304492125,7767569377
2002,Manitoba,Primary Wood Products,1175467,2183924,1008457
2002,Manitoba,Pulp and Paper Products,280124906,275704017,-4420889
2002,Manitoba,Wood-Fabricated Materials,109732282,337286061,227553779
2002,New Brunswick,Primary Wood Products,79782131,10774233,-69007898
2002,New Brunswick,Pulp and Paper Products,125950684,1465805145,1339854461
2002,New Brunswick,Wood-Fabricated Materials,71038814,875504210,804465396
