year,annee,jurisdiction,juridiction,iso,sub_sectors,sous_secteurs,indicators,indicateur,commodities,produits,unit_of_measure,unite_de_mesure,value
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,26
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,28153
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,236
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,261.25
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,103048.25
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,40486
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,62301
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,35077
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,91751
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,24816.75
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services and custom work,Services et travail sur commande,Number,Nombre,8838.25
2007,2007,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Total commodities,Total des produits,Number,Nombre,291684.25
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,24
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,26031
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,192
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,216
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,89300
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,36291
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,52793
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,31946
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,85238.75
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,23251.25
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services and custom work,Services et travail sur commande,Number,Nombre,8210
2008,2008,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Total commodities,Total des produits,Number,Nombre,263977
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,21
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,21899.75
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,347
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,368
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,76058.5
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,31657.25
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,44033.25
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,30679
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,74579.25
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,22300
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services and custom work,Services et travail sur commande,Number,Nombre,7362.25
2009,2009,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Total commodities,Total des produits,Number,Nombre,232878.75
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,75.5
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,21418
