Year,Année,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espèce,Area,Data_qualifier,Superficie,Qualificatifs_de_données
1990,1990,AB,Alberta,Alberta,Spruce budworm,Tordeuse des bourgeons de l'épinette,109150,a,109150,a
1990,1990,AB,Alberta,Alberta,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1990,1990,AB,Alberta,Alberta,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1990,1990,AB,Alberta,Alberta,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1990,1990,AB,Alberta,Alberta,Forest tent caterpillar,Livrée des forêts,609272,a,609272,a
1990,1990,AB,Alberta,Alberta,Spongy moth,Spongieuse,0,n,0,n
1990,1990,AB,Alberta,Alberta,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1990,1990,AB,Alberta,Alberta,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1990,1990,AB,Alberta,Alberta,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1990,1990,AB,Alberta,Alberta,Bruce spanworm,Arpenteuse de Bruce,519404,a,519404,a
1990,1990,AB,Alberta,Alberta,Western spruce budworm,Tordeuse occidentale de l'épinette,0,a,0,a
1990,1990,AB,Alberta,Alberta,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1990,1990,AB,Alberta,Alberta,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,a,0,a
1990,1990,AB,Alberta,Alberta,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1990,1990,AB,Alberta,Alberta,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1990,1990,AB,Alberta,Alberta,Other,Autres,0,a,0,a
1990,1990,BC,British Columbia,Colombie-Britannique,Spruce budworm,Tordeuse des bourgeons de l'épinette,400000,a,400000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
1990,1990,BC,British Columbia,Colombie-Britannique,Mountain pine beetle,Dendroctone du pin ponderosa,41400,a,41400,a
1990,1990,BC,British Columbia,Colombie-Britannique,Hemlock looper,Arpenteuse de la pruche,1150,a,1150,a
1990,1990,BC,British Columbia,Colombie-Britannique,Forest tent caterpillar,Livrée des forêts,206000,a,206000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Spongy moth,Spongieuse,0,n,0,n
1990,1990,BC,British Columbia,Colombie-Britannique,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1990,1990,BC,British Columbia,Colombie-Britannique,Balsam fir sawfly,Diprion du sapin,0,n,0,n
1990,1990,BC,British Columbia,Colombie-Britannique,Swaine jack pine sawfly,Diprion de Swaine,0,n,0,n
1990,1990,BC,British Columbia,Colombie-Britannique,Bruce spanworm,Arpenteuse de Bruce,0,n,0,n
1990,1990,BC,British Columbia,Colombie-Britannique,Western spruce budworm,Tordeuse occidentale de l'épinette,193000,a,193000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1990,1990,BC,British Columbia,Colombie-Britannique,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,30000,a,30000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
