Year,Measure,Value
2000,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-25.52
2000,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",-34.05
2000,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",-59.56
2000,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",199.92
2001,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-40.88
2001,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",-2.04
2001,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",-42.92
2001,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",184.10
2002,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-22.44
2002,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",127.69
2002,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",105.25
2002,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",193.90
2003,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-25.44
2003,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",85.12
2003,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",59.67
2003,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",180.60
2004,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",4.10
2004,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",149.93
2004,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",154.03
2004,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",205.95
2005,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",9.86
2005,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",69.51
2005,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",79.37
2005,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",199.68
2006,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-1.30
2006,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",91.51
2006,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",90.22
