Year,Measure,Value
2000,Afforestation removals (Mt CO2e),1.03
2000,Deforestation emissions  (Mt CO2e ),12.93
2001,Afforestation removals (Mt CO2e),1.01
2001,Deforestation emissions  (Mt CO2e ),12.47
2002,Afforestation removals (Mt CO2e),1.01
2002,Deforestation emissions  (Mt CO2e ),12.47
2003,Afforestation removals (Mt CO2e),0.99
2003,Deforestation emissions  (Mt CO2e ),12.58
2004,Afforestation removals (Mt CO2e),0.97
2004,Deforestation emissions  (Mt CO2e ),12.20
2005,Afforestation removals (Mt CO2e),0.95
2005,Deforestation emissions  (Mt CO2e ),11.84
2006,Afforestation removals (Mt CO2e),0.92
2006,Deforestation emissions  (Mt CO2e ),11.47
2007,Afforestation removals (Mt CO2e),0.88
2007,Deforestation emissions  (Mt CO2e ),11.46
2008,Afforestation removals (Mt CO2e),0.85
2008,Deforestation emissions  (Mt CO2e ),11.09
2009,Afforestation removals (Mt CO2e),0.80
2009,Deforestation emissions  (Mt CO2e ),10.54
2010,Afforestation removals (Mt CO2e),0.74
2010,Deforestation emissions  (Mt CO2e ),10.33
2011,Afforestation removals (Mt CO2e),0.69
2011,Deforestation emissions  (Mt CO2e ),10.10
2012,Afforestation removals (Mt CO2e),0.64
2012,Deforestation emissions  (Mt CO2e ),10.40
2013,Afforestation removals (Mt CO2e),0.59
2013,Deforestation emissions  (Mt CO2e ),11.08
2014,Afforestation removals (Mt CO2e),0.54
2014,Deforestation emissions  (Mt CO2e ),11.44
2015,Afforestation removals (Mt CO2e),0.50
2015,Deforestation emissions  (Mt CO2e ),11.57
2016,Afforestation removals (Mt CO2e),0.44
2016,Deforestation emissions  (Mt CO2e ),11.63
2017,Afforestation removals (Mt CO2e),0.39
2017,Deforestation emissions  (Mt CO2e ),11.62
2018,Afforestation removals (Mt CO2e),0.34
2018,Deforestation emissions  (Mt CO2e ),11.24
2019,Afforestation removals (Mt CO2e),0.30
2019,Deforestation emissions  (Mt CO2e ),11.28
2020,Afforestation removals (Mt CO2e),0.24
2020,Deforestation emissions  (Mt CO2e ),11.55
2021,Afforestation removals (Mt CO2e),0.17
2021,Deforestation emissions  (Mt CO2e ),11.52
