Year,Product,Unit,Production,Exports,Imports,Consumption
2000,Lumber - hardwood,Cubic Metres,1572000,1471657,1182023,1282366
2000,Lumber - softwood,Cubic Metres,75213000,48791008,769258,27191250
2000,Newsprint,Tonnes,9221000,8723185,41207,539022
2000,Printing and writing paper,Tonnes,6313000,3065322.104,422617.1091,3670295
2000,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,9685231,7005527,120900,2800604
2000,Wood pulp,Tonnes,26871000,11902994,273932,15241938
2001,Lumber - hardwood,Cubic Metres,1598000,1325462,1035702,1308240
2001,Lumber - softwood,Cubic Metres,72036000,48898654,563443,23700789
2001,Newsprint,Tonnes,8373000,8023335,47239,396904
2001,Printing and writing paper,Tonnes,6120000,3234143.085,411641.5025,3297498
2001,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,9989636,7415605,127574,2701605
2001,Wood pulp,Tonnes,24869000,11506198,263092,13625894
2002,Lumber - hardwood,Cubic Metres,1851000,1436471,1109680,1524209
2002,Lumber - softwood,Cubic Metres,77953000,49969486,527329,28510843
2002,Newsprint,Tonnes,8455000,8140632,54127,368495
2002,Printing and writing paper,Tonnes,6331000,4333208.395,978648.4577,2976440
2002,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,10380762,7609931,164683,2935514
2002,Wood pulp,Tonnes,25521000,12117438,264449,13668011
2003,Lumber - hardwood,Cubic Metres,1840400,1407107,1126731,1560024
2003,Lumber - softwood,Cubic Metres,77530800,50839163,563299,27254936
2003,Newsprint,Tonnes,8487000,8288872,65309,263437
2003,Printing and writing paper,Tonnes,6456000,4576566.061,975843.4883,2855277
2003,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,11090452,8050406,131388,3171434
2003,Wood pulp,Tonnes,25963000,11526208,253700,14690492
2004,Lumber - hardwood,Cubic Metres,2001900,1376274,2065633,2691259
2004,Lumber - softwood,Cubic Metres,82759300,55066473,654946,28347773
2004,Newsprint,Tonnes,8180000,7705379,62287,536908
2004,Printing and writing paper,Tonnes,7020000,5356551.288,1392916.609,3056365
2004,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,12168260,8698528,231598,3701330
2004,Wood pulp,Tonnes,26238000,11513726,277013,15001287
2005,Lumber - hardwood,Cubic Metres,2015800,1361963,1580590,2234427
2005,Lumber - softwood,Cubic Metres,81142300,55307063,899709,26734946
2005,Newsprint,Tonnes,7770000,7323951,74515,520564
2005,Printing and writing paper,Tonnes,6706000,5355325.727,1498636.083,2849310
2005,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,12216929,8921944,247422,3542407
2005,Wood pulp,Tonnes,25310000,10659464,317884,14968420
