Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Data_qualifier,Superficie,Qualificatifs_de_donnees
2000,2000,AB,Alberta,Alberta,Spruce budworm,Tordeuse des bourgeons de l'epinette,116481,a,116481,a
2000,2000,AB,Alberta,Alberta,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2000,2000,AB,Alberta,Alberta,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
2000,2000,AB,Alberta,Alberta,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
2000,2000,AB,Alberta,Alberta,Forest tent caterpillar,Livree des forets,362392,a,362392,a
2000,2000,AB,Alberta,Alberta,Spongy moth,Spongieuse,0,n,0,n
2000,2000,AB,Alberta,Alberta,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,AB,Alberta,Alberta,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2000,2000,AB,Alberta,Alberta,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2000,2000,AB,Alberta,Alberta,Bruce spanworm,Arpenteuse de Bruce,6061,a,6061,a
2000,2000,AB,Alberta,Alberta,Western spruce budworm,Tordeuse occidentale de l'epinette,0,a,0,a
2000,2000,AB,Alberta,Alberta,Large aspen tortrix,Tordeuse du tremble,2260176,a,2260176,a
2000,2000,AB,Alberta,Alberta,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,a,0,a
2000,2000,AB,Alberta,Alberta,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,AB,Alberta,Alberta,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,AB,Alberta,Alberta,Other,Autres,0,a,0,a
2000,2000,BC,British Columbia,Colombie-Britannique,Spruce budworm,Tordeuse des bourgeons de l'epinette,1575188,a,1575188,a
2000,2000,BC,British Columbia,Colombie-Britannique,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
2000,2000,BC,British Columbia,Colombie-Britannique,Mountain pine beetle,Dendroctone du pin ponderosa,475000,r,475000,r
2000,2000,BC,British Columbia,Colombie-Britannique,Hemlock looper,Arpenteuse de la pruche,34843,r,34843,r
2000,2000,BC,British Columbia,Colombie-Britannique,Forest tent caterpillar,Livree des forets,213934,a,213934,a
2000,2000,BC,British Columbia,Colombie-Britannique,Spongy moth,Spongieuse,0,u,0,u
2000,2000,BC,British Columbia,Colombie-Britannique,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,u,0,u
2000,2000,BC,British Columbia,Colombie-Britannique,Balsam fir sawfly,Diprion du sapin,0,u,0,u
2000,2000,BC,British Columbia,Colombie-Britannique,Swaine jack pine sawfly,Diprion de Swaine,0,u,0,u
2000,2000,BC,British Columbia,Colombie-Britannique,Bruce spanworm,Arpenteuse de Bruce,0,u,0,u
2000,2000,BC,British Columbia,Colombie-Britannique,Western spruce budworm,Tordeuse occidentale de l'epinette,14690,r,14690,r
2000,2000,BC,British Columbia,Colombie-Britannique,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,BC,British Columbia,Colombie-Britannique,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,695111,a,695111,a
2000,2000,BC,British Columbia,Colombie-Britannique,Spruce beetle,Dendroctone de l'epinette,106027,a,106027,a
2000,2000,BC,British Columbia,Colombie-Britannique,Aspen twoleaf tier,Noctuelle decolorie,0,u,0,u
2000,2000,BC,British Columbia,Colombie-Britannique,Other,Autres,646816,a,646816,a
2000,2000,MB,Manitoba,Manitoba,Spruce budworm,Tordeuse des bourgeons de l'epinette,73379,r,73379,r
2000,2000,MB,Manitoba,Manitoba,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2000,2000,MB,Manitoba,Manitoba,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Forest tent caterpillar,Livree des forets,0,u,0,u
2000,2000,MB,Manitoba,Manitoba,Spongy moth,Spongieuse,0,n,0,n
2000,2000,MB,Manitoba,Manitoba,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,MB,Manitoba,Manitoba,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,MB,Manitoba,Manitoba,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,MB,Manitoba,Manitoba,Other,Autres,0,a,0,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,a,0,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
