Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Data_Qualifier,Superficie,Qualificatifs_de_donnees
2000,2000,AB,Alberta,Alberta,Human activity,Activites humaines,8657.97,a,8657.97,a
2000,2000,AB,Alberta,Alberta,Lightning,Foudre,16574.85,a,16574.85,a
2000,2000,AB,Alberta,Alberta,Unspecified,Indeterminee,18.76,a,18.76,a
2000,2000,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,11399.254,a,11399.254,a
2000,2000,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,6409.458,a,6409.458,a
2000,2000,MB,Manitoba,Manitoba,Human activity,Activites humaines,1616,a,1616,a
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indeterminee,111699.272,a,111699.272,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,371.98,a,371.98,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,70.8,a,70.8,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,50.3,a,50.3,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,232,a,232,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,103304.167,a,103304.167,a
2000,2000,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,300.87,a,300.87,a
2000,2000,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,1.99,a,1.99,a
2000,2000,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,185.31,a,185.31,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,20.83,a,20.83,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirige,17.8,a,17.8,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,177796.14,a,177796.14,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,1.02,a,1.02,a
2000,2000,ON,Ontario,Ontario,Human activity,Activites humaines,1420.500003,a,1420.500003,a
2000,2000,ON,Ontario,Ontario,Lightning,Foudre,5293.2,a,5293.2,a
2000,2000,ON,Ontario,Ontario,Unspecified,Indeterminee,64.70000003,a,64.70000003,a
