Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Superficie,Number,Nombre
1990,1990,AB,Alberta,Alberta,Human activity,Activites humaines,2393.8,2393.8,379,379
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,55482.6,55482.6,971,971
1990,1990,AB,Alberta,Alberta,Unspecified,Indeterminee,1008.8,1008.8,16,16
1990,1990,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,40278.3,40278.3,1240,1240
1990,1990,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,35503.5,35503.5,2015,2015
1990,1990,MB,Manitoba,Manitoba,Human activity,Activites humaines,5719,5719,283,283
1990,1990,MB,Manitoba,Manitoba,Lightning,Foudre,10426,10426,279,279
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,6188.1,6188.1,318,318
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,6.9,6.9,29,29
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,23.4,23.4,30,30
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,3825.3,3825.3,154,154
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,20777,20777,11,11
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,1029.09,1029.09,441,441
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,0.2,0.2,8,8
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,38.87,38.87,48,48
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,11.98,11.98,40,40
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,104605.21,104605.21,194,194
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,0.21,0.21,2,2
1990,1990,ON,Ontario,Ontario,Human activity,Activites humaines,8672.000002,8672.000002,940,940
