Year,Industry,Nominal,Real
2000,All industries,1027444000000,1360463166667
2000,Forestry and logging,4735000000,4599083333
2000,Pulp and paper manufacturing,13823000000,11485000000
2000,Wood product manufacturing,12183000000,8327916667
2001,All industries,1065641000000,1380900083333
2001,Forestry and logging,4326000000,4607000000
2001,Pulp and paper manufacturing,13145000000,11026000000
2001,Wood product manufacturing,11325000000,7917083333
2002,All industries,1105073000000,1423434000000
2002,Forestry and logging,4877000000,4762916667
2002,Pulp and paper manufacturing,11554000000,11617000000
2002,Wood product manufacturing,12108000000,8850000000
2003,All industries,1165458000000,1449728500000
2003,Forestry and logging,4470000000,4585916667
2003,Pulp and paper manufacturing,10366000000,11607833333
2003,Wood product manufacturing,11680000000,8916000000
2004,All industries,1241729000000,1495548833333
2004,Forestry and logging,4960000000,4838916667
2004,Pulp and paper manufacturing,10656000000,11657916667
2004,Wood product manufacturing,14274000000,9303000000
2005,All industries,1323863000000,1542101166667
2005,Forestry and logging,4968000000,4907000000
2005,Pulp and paper manufacturing,10615000000,11555083333
2005,Wood product manufacturing,13007000000,9997000000
2006,All industries,1395881000000,1583862333333
2006,Forestry and logging,4771000000,4699083333
2006,Pulp and paper manufacturing,10163000000,10350083333
2006,Wood product manufacturing,11285000000,9917000000
2007,All industries,1473059000000,1614508333333
2007,Forestry and logging,4457000000,4283000000
2007,Pulp and paper manufacturing,9304000000,10046166667
2007,Wood product manufacturing,9702000000,9070916667
2008,All industries,1555044000000,1625175166667
2008,Forestry and logging,4096000000,4002916667
2008,Pulp and paper manufacturing,8832000000,9302000000
2008,Wood product manufacturing,7977000000,8060916667
2009,All industries,1469128000000,1572166916667
2009,Forestry and logging,3502000000,3157750000
2009,Pulp and paper manufacturing,7711000000,7590083333
2009,Wood product manufacturing,6108000000,6606916667
2010,All industries,1559053000000,1626419500000
2010,Forestry and logging,3642000000,3650000000
2010,Pulp and paper manufacturing,8583000000,8243916667
2010,Wood product manufacturing,6813000000,6948083333
2011,All industries,1662359000000,1679459916667
2011,Forestry and logging,3850000000,4014916667
2011,Pulp and paper manufacturing,8178000000,7940916667
2011,Wood product manufacturing,6529000000,7125000000
2012,All industries,1710440000000,1710428916667
2012,Forestry and logging,3937000000,3937000000
2012,Pulp and paper manufacturing,7466000000,7466000000
2012,Wood product manufacturing,7402000000,7402000000
2013,All industries,1781931000000,1754172833333
2013,Forestry and logging,3391000000,4049000000
2013,Pulp and paper manufacturing,7419000000,7146000000
2013,Wood product manufacturing,8785000000,7928000000
2014,All industries,1867754000000,1803636166667
2014,Forestry and logging,3728000000,4210000000
2014,Pulp and paper manufacturing,7927000000,7547000000
2014,Wood product manufacturing,8724000000,8124000000
2015,All industries,1856809000000,1820025916667
2015,Forestry and logging,3985000000,4259000000
2015,Pulp and paper manufacturing,8581000000,7857000000
2015,Wood product manufacturing,8961000000,8394000000
2016,All industries,1886103000000,1839614166667
2016,Forestry and logging,4086000000,4030000000
2016,Pulp and paper manufacturing,8607000000,7647000000
2016,Wood product manufacturing,9990000000,8872000000
2017,All industries,1991534000000,1901971083333
2017,Forestry and logging,4515000000,3975000000
2017,Pulp and paper manufacturing,8837000000,7406000000
2017,Wood product manufacturing,11122000000,8756000000
2018,All industries,2083379000000,1958470166667
2018,Forestry and logging,4816000000,4122000000
2018,Pulp and paper manufacturing,10469000000,7223000000
2018,Wood product manufacturing,11862000000,8729000000
2019,All industries,2161924000000,1996743916667
2019,Forestry and logging,4278000000,3574000000
2019,Pulp and paper manufacturing,9217000000,6691000000
2019,Wood product manufacturing,9335000000,8792000000
2020,All industries,2045234006512,1897187250000
2020,Forestry and logging,4046941721,3520000000
2020,Pulp and paper manufacturing,8921029549,6716000000
2020,Wood product manufacturing,10748231265,8599000000
2021,All industries,2445470254334,1991978083333
2021,Forestry and logging,5304366755,3666000000
2021,Pulp and paper manufacturing,9436292177,6747000000
2021,Wood product manufacturing,16541338973,9478000000
2022,All industries,2859817997389,2064387833333
2022,Forestry and logging,5896921860,3290000000
2022,Pulp and paper manufacturing,10434080878,6528000000
2022,Wood product manufacturing,17038984824,10079000000
