Year,Jurisdiction,Industry,Product,Value
2000,Canada,Logging,Total logging,12620475000
2000,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,38275806000
2000,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,9269275000
2000,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,29006531000
2000,Canada,Wood product manufacturing,Total wood product manufacturing,31671414000
2000,Canada,Wood product manufacturing,Sawmills and wood preservation,18758970000
2000,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,6426143000
2000,Canada,Wood product manufacturing,Other wood product manufacturing,6486301000
2000,Canada,All industries,Total revenue,82567695000
2000,Alberta,Logging,Total logging,646796000
2000,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2076786000
2000,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,293411000
2000,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,1783375000
2000,Alberta,Wood product manufacturing,Total wood product manufacturing,2765681000
2000,Alberta,Wood product manufacturing,Sawmills and wood preservation,1283842000
2000,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,950545000
2000,Alberta,Wood product manufacturing,Other wood product manufacturing,531294000
2000,Alberta,All industries,Total revenue,5489263000
2000,British Columbia,Logging,Total logging,6066838000
2000,British Columbia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,7499950000
2000,British Columbia,Pulp and paper product manufacturing,Converted paper product manufacturing,395520000
2000,British Columbia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,7104430000
2000,British Columbia,Wood product manufacturing,Total wood product manufacturing,11884796000
2000,British Columbia,Wood product manufacturing,Sawmills and wood preservation,9146918000
2000,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1605400000
2000,British Columbia,Wood product manufacturing,Other wood product manufacturing,1132478000
2000,British Columbia,All industries,Total revenue,25451584000
2000,Manitoba,Logging,Total logging,138098000
2000,Manitoba,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,554856000
2000,Manitoba,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Manitoba,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Manitoba,Wood product manufacturing,Total wood product manufacturing,588459000
2000,Manitoba,Wood product manufacturing,Sawmills and wood preservation,130547000
2000,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,237589000
2000,Manitoba,Wood product manufacturing,Other wood product manufacturing,220323000
2000,Manitoba,All industries,Total revenue,1281413000
2000,New Brunswick,Logging,Total logging,754004000
2000,New Brunswick,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2464228000
2000,New Brunswick,Pulp and paper product manufacturing,Converted paper product manufacturing,118636000
