Year,Jurisdiction,Industry,Product,Value
2000,Canada,Logging,Total logging,12620475000
2000,Alberta,Logging,Total logging,646796000
2000,British Columbia,Logging,Total logging,6066838000
2000,Manitoba,Logging,Total logging,138098000
2000,New Brunswick,Logging,Total logging,754004000
2000,Newfoundland and Labrador,Logging,Total logging,134647000
2000,Northwest Territories,Logging,Total logging,0
2000,Nova Scotia,Logging,Total logging,246059000
2000,Nunavut,Logging,Total logging,0
2000,Ontario,Logging,Total logging,1807779000
2000,Prince Edward Island,Logging,Total logging,10028000
2000,Quebec,Logging,Total logging,2604807000
2000,Saskatchewan,Logging,Total logging,205980000
2000,Yukon,Logging,Total logging,0
2001,Canada,Logging,Total logging,12657985000
2001,Alberta,Logging,Total logging,686421000
2001,British Columbia,Logging,Total logging,6082303000
2001,Manitoba,Logging,Total logging,124765000
2001,New Brunswick,Logging,Total logging,640989000
2001,Newfoundland and Labrador,Logging,Total logging,163219000
2001,Northwest Territories,Logging,Total logging,0
2001,Nova Scotia,Logging,Total logging,295658000
2001,Nunavut,Logging,Total logging,0
2001,Ontario,Logging,Total logging,2017853000
2001,Prince Edward Island,Logging,Total logging,9835000
2001,Quebec,Logging,Total logging,2427660000
2001,Saskatchewan,Logging,Total logging,205029000
2001,Yukon,Logging,Total logging,0
2002,Canada,Logging,Total logging,12333746000
2002,Alberta,Logging,Total logging,664309000
2002,British Columbia,Logging,Total logging,6196868000
2002,Manitoba,Logging,Total logging,121708000
2002,New Brunswick,Logging,Total logging,701400000
2002,Newfoundland and Labrador,Logging,Total logging,171178000
2002,Northwest Territories,Logging,Total logging,0
2002,Nova Scotia,Logging,Total logging,279565000
2002,Nunavut,Logging,Total logging,0
2002,Ontario,Logging,Total logging,1710972000
2002,Prince Edward Island,Logging,Total logging,11611000
2002,Quebec,Logging,Total logging,2276323000
2002,Saskatchewan,Logging,Total logging,199198000
2002,Yukon,Logging,Total logging,0
2003,Canada,Logging,Total logging,12177771000
2003,Alberta,Logging,Total logging,684645000
2003,British Columbia,Logging,Total logging,5739459000
2003,Manitoba,Logging,Total logging,122274000
2003,New Brunswick,Logging,Total logging,716945000
2003,Newfoundland and Labrador,Logging,Total logging,144796000
2003,Northwest Territories,Logging,Total logging,0
2003,Nova Scotia,Logging,Total logging,300541000
2003,Nunavut,Logging,Total logging,0
2003,Ontario,Logging,Total logging,1846029000
2003,Prince Edward Island,Logging,Total logging,11144000
2003,Quebec,Logging,Total logging,2393065000
2003,Saskatchewan,Logging,Total logging,218304000
2003,Yukon,Logging,Total logging,0
2004,Canada,Logging,Total logging,14106996000
2004,Alberta,Logging,Total logging,884289000
2004,British Columbia,Logging,Total logging,6469201000
2004,Manitoba,Logging,Total logging,126258000
2004,New Brunswick,Logging,Total logging,794373000
2004,Newfoundland and Labrador,Logging,Total logging,150287000
2004,Northwest Territories,Logging,Total logging,0
2004,Nova Scotia,Logging,Total logging,290899000
2004,Nunavut,Logging,Total logging,0
2004,Ontario,Logging,Total logging,2173309000
2004,Prince Edward Island,Logging,Total logging,10533000
2004,Quebec,Logging,Total logging,2931809000
2004,Saskatchewan,Logging,Total logging,274656000
2004,Yukon,Logging,Total logging,0
2005,Canada,Logging,Total logging,14566697000
2005,Alberta,Logging,Total logging,872875000
2005,British Columbia,Logging,Total logging,6436773000
2005,Manitoba,Logging,Total logging,159546000
2005,New Brunswick,Logging,Total logging,767848000
2005,Newfoundland and Labrador,Logging,Total logging,152238000
2005,Northwest Territories,Logging,Total logging,0
2005,Nova Scotia,Logging,Total logging,290221000
2005,Nunavut,Logging,Total logging,0
2005,Ontario,Logging,Total logging,2446857000
2005,Prince Edward Island,Logging,Total logging,8206000
2005,Quebec,Logging,Total logging,3162935000
2005,Saskatchewan,Logging,Total logging,268593000
2005,Yukon,Logging,Total logging,0
2006,Canada,Logging,Total logging,13688887000
2006,Alberta,Logging,Total logging,931923000
2006,British Columbia,Logging,Total logging,6283131000
2006,Manitoba,Logging,Total logging,102065000
2006,New Brunswick,Logging,Total logging,712435000
2006,Newfoundland and Labrador,Logging,Total logging,143175000
2006,Northwest Territories,Logging,Total logging,0
2006,Nova Scotia,Logging,Total logging,291652000
2006,Nunavut,Logging,Total logging,0
2006,Ontario,Logging,Total logging,2080243000
2006,Prince Edward Island,Logging,Total logging,7080000
