Year,Jurisdiction,Industry,Product,Value
2000,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,38275806000
2000,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,9269275000
2000,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,29006531000
2000,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2076786000
2000,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,293411000
2000,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,1783375000
2000,British Columbia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,7499950000
2000,British Columbia,Pulp and paper product manufacturing,Converted paper product manufacturing,395520000
2000,British Columbia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,7104430000
2000,Manitoba,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,554856000
2000,Manitoba,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Manitoba,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,New Brunswick,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2464228000
2000,New Brunswick,Pulp and paper product manufacturing,Converted paper product manufacturing,118636000
2000,New Brunswick,Pulp and paper product manufacturing,Pulp paper and paperboard mills,2345592000
2000,Newfoundland and Labrador,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2000,Newfoundland and Labrador,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Newfoundland and Labrador,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Northwest Territories,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2000,Northwest Territories,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Northwest Territories,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Nova Scotia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,993056000
2000,Nova Scotia,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Nova Scotia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Nunavut,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2000,Nunavut,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Nunavut,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Ontario,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11349904000
2000,Ontario,Pulp and paper product manufacturing,Converted paper product manufacturing,4852608000
2000,Ontario,Pulp and paper product manufacturing,Pulp paper and paperboard mills,6497296000
2000,Prince Edward Island,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2000,Prince Edward Island,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Prince Edward Island,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Quebec,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,12111039000
2000,Quebec,Pulp and paper product manufacturing,Converted paper product manufacturing,3136403000
2000,Quebec,Pulp and paper product manufacturing,Pulp paper and paperboard mills,8974636000
2000,Saskatchewan,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,591975000
2000,Saskatchewan,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Saskatchewan,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Yukon,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2000,Yukon,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Yukon,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,35842469000
2001,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,9851721000
2001,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,25990748000
2001,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,1715256000
2001,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,293937000
2001,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,1421319000
2001,British Columbia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,6263089000
2001,British Columbia,Pulp and paper product manufacturing,Converted paper product manufacturing,388120000
2001,British Columbia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,5874969000
2001,Manitoba,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,547435000
2001,Manitoba,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Manitoba,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,New Brunswick,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2191652000
2001,New Brunswick,Pulp and paper product manufacturing,Converted paper product manufacturing,127419000
2001,New Brunswick,Pulp and paper product manufacturing,Pulp paper and paperboard mills,2064233000
2001,Newfoundland and Labrador,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Newfoundland and Labrador,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Newfoundland and Labrador,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Northwest Territories,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Northwest Territories,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Northwest Territories,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Nova Scotia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,962432000
2001,Nova Scotia,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Nova Scotia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Nunavut,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Nunavut,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Nunavut,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Ontario,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11114989000
2001,Ontario,Pulp and paper product manufacturing,Converted paper product manufacturing,5058995000
2001,Ontario,Pulp and paper product manufacturing,Pulp paper and paperboard mills,6055994000
2001,Prince Edward Island,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Prince Edward Island,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Prince Edward Island,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Quebec,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11993283000
2001,Quebec,Pulp and paper product manufacturing,Converted paper product manufacturing,3522884000
2001,Quebec,Pulp and paper product manufacturing,Pulp paper and paperboard mills,8470399000
2001,Saskatchewan,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,493287000
2001,Saskatchewan,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Saskatchewan,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Yukon,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Yukon,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Yukon,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,34225256000
2002,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,10221841000
2002,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,24003415000
2002,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,1605418000
2002,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,287238000
2002,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,1318180000
2002,British Columbia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,5329165000
2002,British Columbia,Pulp and paper product manufacturing,Converted paper product manufacturing,390676000
2002,British Columbia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,4938489000
2002,Manitoba,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,532979000
2002,Manitoba,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Manitoba,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,New Brunswick,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2324192000
2002,New Brunswick,Pulp and paper product manufacturing,Converted paper product manufacturing,134165000
2002,New Brunswick,Pulp and paper product manufacturing,Pulp paper and paperboard mills,2190027000
2002,Newfoundland and Labrador,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2002,Newfoundland and Labrador,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Newfoundland and Labrador,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Northwest Territories,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2002,Northwest Territories,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Northwest Territories,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Nova Scotia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,776354000
2002,Nova Scotia,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Nova Scotia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Nunavut,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2002,Nunavut,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Nunavut,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Ontario,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11218931000
2002,Ontario,Pulp and paper product manufacturing,Converted paper product manufacturing,5436746000
2002,Ontario,Pulp and paper product manufacturing,Pulp paper and paperboard mills,5782185000
2002,Prince Edward Island,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2002,Prince Edward Island,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Prince Edward Island,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Quebec,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11383488000
2002,Quebec,Pulp and paper product manufacturing,Converted paper product manufacturing,3519131000
2002,Quebec,Pulp and paper product manufacturing,Pulp paper and paperboard mills,7864357000
2002,Saskatchewan,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,538638000
2002,Saskatchewan,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Saskatchewan,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
