Year,Jurisdiction,Industry,Product,Value
2000,Canada,Wood product manufacturing,Total wood product manufacturing,31671414000
2000,Canada,Wood product manufacturing,Sawmills and wood preservation,18758970000
2000,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,6426143000
2000,Canada,Wood product manufacturing,Other wood product manufacturing,6486301000
2000,Alberta,Wood product manufacturing,Total wood product manufacturing,2765681000
2000,Alberta,Wood product manufacturing,Sawmills and wood preservation,1283842000
2000,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,950545000
2000,Alberta,Wood product manufacturing,Other wood product manufacturing,531294000
2000,British Columbia,Wood product manufacturing,Total wood product manufacturing,11884796000
2000,British Columbia,Wood product manufacturing,Sawmills and wood preservation,9146918000
2000,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1605400000
2000,British Columbia,Wood product manufacturing,Other wood product manufacturing,1132478000
2000,Manitoba,Wood product manufacturing,Total wood product manufacturing,588459000
2000,Manitoba,Wood product manufacturing,Sawmills and wood preservation,130547000
2000,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,237589000
2000,Manitoba,Wood product manufacturing,Other wood product manufacturing,220323000
2000,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1352264000
2000,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,889448000
2000,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,292909000
2000,New Brunswick,Wood product manufacturing,Other wood product manufacturing,169907000
2000,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,82718000
2000,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2000,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,3250000
2000,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2000,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2000,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2000,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2000,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,537371000
2000,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,411206000
2000,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2000,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2000,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2000,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2000,Ontario,Wood product manufacturing,Total wood product manufacturing,5730597000
2000,Ontario,Wood product manufacturing,Sawmills and wood preservation,2093496000
2000,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1633851000
2000,Ontario,Wood product manufacturing,Other wood product manufacturing,2003250000
2000,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,48038000
2000,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2000,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2000,Quebec,Wood product manufacturing,Total wood product manufacturing,8334780000
2000,Quebec,Wood product manufacturing,Sawmills and wood preservation,4505341000
2000,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1513594000
2000,Quebec,Wood product manufacturing,Other wood product manufacturing,2315845000
2000,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,346710000
2000,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,202772000
2000,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,104244000
2000,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,39694000
2000,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2000,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2000,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2001,Canada,Wood product manufacturing,Total wood product manufacturing,30074874000
2001,Canada,Wood product manufacturing,Sawmills and wood preservation,17201664000
2001,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,6128368000
2001,Canada,Wood product manufacturing,Other wood product manufacturing,6744842000
2001,Alberta,Wood product manufacturing,Total wood product manufacturing,2599877000
2001,Alberta,Wood product manufacturing,Sawmills and wood preservation,1270696000
2001,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,788604000
2001,Alberta,Wood product manufacturing,Other wood product manufacturing,540577000
2001,British Columbia,Wood product manufacturing,Total wood product manufacturing,10817105000
2001,British Columbia,Wood product manufacturing,Sawmills and wood preservation,8079458000
2001,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1586112000
2001,British Columbia,Wood product manufacturing,Other wood product manufacturing,1151535000
2001,Manitoba,Wood product manufacturing,Total wood product manufacturing,597297000
2001,Manitoba,Wood product manufacturing,Sawmills and wood preservation,124814000
2001,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,202894000
2001,Manitoba,Wood product manufacturing,Other wood product manufacturing,269589000
2001,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1427528000
2001,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,963283000
2001,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,288088000
2001,New Brunswick,Wood product manufacturing,Other wood product manufacturing,176157000
2001,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,94838000
2001,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2001,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,4635000
2001,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2001,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2001,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,527603000
2001,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,393301000
2001,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,69340000
2001,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,64962000
2001,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2001,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2001,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2001,Ontario,Wood product manufacturing,Total wood product manufacturing,5588952000
2001,Ontario,Wood product manufacturing,Sawmills and wood preservation,2018853000
2001,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1523337000
2001,Ontario,Wood product manufacturing,Other wood product manufacturing,2046762000
2001,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,43462000
2001,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2001,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,7953000
2001,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2001,Quebec,Wood product manufacturing,Total wood product manufacturing,8063318000
2001,Quebec,Wood product manufacturing,Sawmills and wood preservation,4088595000
2001,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1542293000
2001,Quebec,Wood product manufacturing,Other wood product manufacturing,2432430000
2001,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,314894000
2001,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,160803000
2001,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,115112000
2001,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,38979000
2001,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2001,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2001,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2002,Canada,Wood product manufacturing,Total wood product manufacturing,32174361000
2002,Canada,Wood product manufacturing,Sawmills and wood preservation,17842483000
2002,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,6737775000
2002,Canada,Wood product manufacturing,Other wood product manufacturing,7594103000
2002,Alberta,Wood product manufacturing,Total wood product manufacturing,2887937000
2002,Alberta,Wood product manufacturing,Sawmills and wood preservation,1291771000
2002,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,982425000
2002,Alberta,Wood product manufacturing,Other wood product manufacturing,613741000
2002,British Columbia,Wood product manufacturing,Total wood product manufacturing,11361619000
2002,British Columbia,Wood product manufacturing,Sawmills and wood preservation,8340253000
2002,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1681163000
2002,British Columbia,Wood product manufacturing,Other wood product manufacturing,1340203000
2002,Manitoba,Wood product manufacturing,Total wood product manufacturing,595979000
2002,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2002,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,135251000
2002,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2002,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1486476000
2002,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,946846000
2002,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,316543000
2002,New Brunswick,Wood product manufacturing,Other wood product manufacturing,223087000
2002,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,89775000
2002,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2002,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2002,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2002,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,573596000
2002,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,418841000
2002,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2002,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2002,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2002,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2002,Ontario,Wood product manufacturing,Total wood product manufacturing,6027414000
2002,Ontario,Wood product manufacturing,Sawmills and wood preservation,2118657000
2002,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1648769000
2002,Ontario,Wood product manufacturing,Other wood product manufacturing,2259988000
2002,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,46093000
2002,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2002,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,8982000
2002,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2002,Quebec,Wood product manufacturing,Total wood product manufacturing,8749015000
2002,Quebec,Wood product manufacturing,Sawmills and wood preservation,4307839000
2002,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1720286000
2002,Quebec,Wood product manufacturing,Other wood product manufacturing,2720890000
2002,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,356457000
2002,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,162428000
2002,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,150003000
2002,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,44026000
2002,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2002,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2002,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2003,Canada,Wood product manufacturing,Total wood product manufacturing,30600184000
2003,Canada,Wood product manufacturing,Sawmills and wood preservation,15270643000
2003,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,7735606000
2003,Canada,Wood product manufacturing,Other wood product manufacturing,7593935000
2003,Alberta,Wood product manufacturing,Total wood product manufacturing,2922315000
2003,Alberta,Wood product manufacturing,Sawmills and wood preservation,1135331000
2003,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1234940000
2003,Alberta,Wood product manufacturing,Other wood product manufacturing,552044000
2003,British Columbia,Wood product manufacturing,Total wood product manufacturing,10189179000
2003,British Columbia,Wood product manufacturing,Sawmills and wood preservation,7017516000
2003,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1866141000
2003,British Columbia,Wood product manufacturing,Other wood product manufacturing,1305522000
2003,Manitoba,Wood product manufacturing,Total wood product manufacturing,649474000
2003,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2003,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2003,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1351053000
2003,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,0
2003,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,New Brunswick,Wood product manufacturing,Other wood product manufacturing,232732000
2003,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,57968000
2003,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,43689000
