Année,Juridiction,SCIAN,Valeur
2001,Canada,Foresterie et exploitation forestière,58230
2001,Canada,Fabrication du papier,103420
2001,Canada,Activités de soutien à la foresterie,20980
2001,Canada,Fabrication de produits en bois,151515
2001,Alberta,Foresterie et exploitation forestière,3080
2001,Alberta,Fabrication du papier,3800
2001,Alberta,Activités de soutien à la foresterie,1650
2001,Alberta,Fabrication de produits en bois,10675
2001,Colombie-Britannique,Foresterie et exploitation forestière,22930
2001,Colombie-Britannique,Fabrication du papier,14175
2001,Colombie-Britannique,Activités de soutien à la foresterie,8080
2001,Colombie-Britannique,Fabrication de produits en bois,43260
2001,Manitoba,Foresterie et exploitation forestière,610
2001,Manitoba,Fabrication du papier,2850
2001,Manitoba,Activités de soutien à la foresterie,800
2001,Manitoba,Fabrication de produits en bois,4200
2001,Nouveau-Brunswick,Foresterie et exploitation forestière,4725
2001,Nouveau-Brunswick,Fabrication du papier,3795
2001,Nouveau-Brunswick,Activités de soutien à la foresterie,1300
2001,Nouveau-Brunswick,Fabrication de produits en bois,7310
2001,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,1200
2001,Terre-Neuve-et-Labrador,Fabrication du papier,1660
2001,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,285
2001,Terre-Neuve-et-Labrador,Fabrication de produits en bois,805
2001,Territoires du Nord-Ouest,Foresterie et exploitation forestière,30
2001,Territoires du Nord-Ouest,Fabrication du papier,0
2001,Territoires du Nord-Ouest,Activités de soutien à la foresterie,165
2001,Territoires du Nord-Ouest,Fabrication de produits en bois,15
2001,Nouvelle-Écosse,Foresterie et exploitation forestière,2185
2001,Nouvelle-Écosse,Fabrication du papier,3025
2001,Nouvelle-Écosse,Activités de soutien à la foresterie,645
2001,Nouvelle-Écosse,Fabrication de produits en bois,3580
2001,Ontario,Foresterie et exploitation forestière,8945
2001,Ontario,Fabrication du papier,38120
2001,Ontario,Activités de soutien à la foresterie,2340
2001,Ontario,Fabrication de produits en bois,35425
2001,Île-du-Prince-Édouard,Foresterie et exploitation forestière,105
2001,Île-du-Prince-Édouard,Fabrication du papier,70
2001,Île-du-Prince-Édouard,Activités de soutien à la foresterie,55
2001,Île-du-Prince-Édouard,Fabrication de produits en bois,300
2001,Québec,Foresterie et exploitation forestière,13345
2001,Québec,Fabrication du papier,34700
2001,Québec,Activités de soutien à la foresterie,4285
2001,Québec,Fabrication de produits en bois,44090
2001,Saskatchewan,Foresterie et exploitation forestière,1035
2001,Saskatchewan,Fabrication du papier,1225
2001,Saskatchewan,Activités de soutien à la foresterie,1365
2001,Saskatchewan,Fabrication de produits en bois,1820
2001,Yukon,Foresterie et exploitation forestière,40
2001,Yukon,Fabrication du papier,0
2001,Yukon,Activités de soutien à la foresterie,10
2001,Yukon,Fabrication de produits en bois,35
2001,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2001,Territoires du Nord-Ouest,Fabrication du papier,0
2001,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2001,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2001,Nunavut,Foresterie et exploitation forestière,0
2001,Nunavut,Fabrication du papier,0
2001,Nunavut,Activités de soutien à la foresterie,0
2001,Nunavut,Fabrication de produits en bois,0
2002,Canada,Foresterie et exploitation forestière,58340
2002,Canada,Fabrication du papier,95945
2002,Canada,Activités de soutien à la foresterie,20345
2002,Canada,Fabrication de produits en bois,154740
2002,Alberta,Foresterie et exploitation forestière,2920
2002,Alberta,Fabrication du papier,3695
2002,Alberta,Activités de soutien à la foresterie,1515
2002,Alberta,Fabrication de produits en bois,12050
2002,Colombie-Britannique,Foresterie et exploitation forestière,22730
2002,Colombie-Britannique,Fabrication du papier,11885
2002,Colombie-Britannique,Activités de soutien à la foresterie,7535
2002,Colombie-Britannique,Fabrication de produits en bois,44610
2002,Manitoba,Foresterie et exploitation forestière,640
2002,Manitoba,Fabrication du papier,2335
2002,Manitoba,Activités de soutien à la foresterie,755
2002,Manitoba,Fabrication de produits en bois,4165
2002,Nouveau-Brunswick,Foresterie et exploitation forestière,4985
2002,Nouveau-Brunswick,Fabrication du papier,4100
2002,Nouveau-Brunswick,Activités de soutien à la foresterie,1240
2002,Nouveau-Brunswick,Fabrication de produits en bois,7010
2002,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,1210
2002,Terre-Neuve-et-Labrador,Fabrication du papier,1390
2002,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,300
2002,Terre-Neuve-et-Labrador,Fabrication de produits en bois,655
2002,Territoires du Nord-Ouest,Foresterie et exploitation forestière,20
2002,Territoires du Nord-Ouest,Fabrication du papier,0
2002,Territoires du Nord-Ouest,Activités de soutien à la foresterie,165
2002,Territoires du Nord-Ouest,Fabrication de produits en bois,10
2002,Nouvelle-Écosse,Foresterie et exploitation forestière,2305
2002,Nouvelle-Écosse,Fabrication du papier,2185
2002,Nouvelle-Écosse,Activités de soutien à la foresterie,680
2002,Nouvelle-Écosse,Fabrication de produits en bois,3370
2002,Ontario,Foresterie et exploitation forestière,8590
2002,Ontario,Fabrication du papier,35315
2002,Ontario,Activités de soutien à la foresterie,2205
2002,Ontario,Fabrication de produits en bois,35040
2002,Île-du-Prince-Édouard,Foresterie et exploitation forestière,110
2002,Île-du-Prince-Édouard,Fabrication du papier,75
2002,Île-du-Prince-Édouard,Activités de soutien à la foresterie,50
2002,Île-du-Prince-Édouard,Fabrication de produits en bois,310
2002,Québec,Foresterie et exploitation forestière,13755
2002,Québec,Fabrication du papier,33605
2002,Québec,Activités de soutien à la foresterie,4520
2002,Québec,Fabrication de produits en bois,45365
2002,Saskatchewan,Foresterie et exploitation forestière,1030
2002,Saskatchewan,Fabrication du papier,1360
2002,Saskatchewan,Activités de soutien à la foresterie,1370
2002,Saskatchewan,Fabrication de produits en bois,2125
2002,Yukon,Foresterie et exploitation forestière,45
2002,Yukon,Fabrication du papier,0
2002,Yukon,Activités de soutien à la foresterie,10
2002,Yukon,Fabrication de produits en bois,30
2002,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2002,Territoires du Nord-Ouest,Fabrication du papier,0
2002,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2002,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2002,Nunavut,Foresterie et exploitation forestière,0
2002,Nunavut,Fabrication du papier,0
2002,Nunavut,Activités de soutien à la foresterie,0
2002,Nunavut,Fabrication de produits en bois,0
2003,Canada,Foresterie et exploitation forestière,55875
2003,Canada,Fabrication du papier,91640
2003,Canada,Activités de soutien à la foresterie,21490
2003,Canada,Fabrication de produits en bois,151615
2003,Alberta,Foresterie et exploitation forestière,2550
2003,Alberta,Fabrication du papier,3800
2003,Alberta,Activités de soutien à la foresterie,1555
2003,Alberta,Fabrication de produits en bois,12375
2003,Colombie-Britannique,Foresterie et exploitation forestière,22425
2003,Colombie-Britannique,Fabrication du papier,10500
2003,Colombie-Britannique,Activités de soutien à la foresterie,7745
