Year,Jurisdiction,NAICS,Unit of measure,Value
2012,Canada,Logging,Dollars,1363229000
2012,Canada,Paper manufacturing,Dollars,3358406000
2012,Canada,Wood product manufacturing,Dollars,3936269000
2012,Alberta,Logging,Dollars,148553000
2012,Alberta,Paper manufacturing,Dollars,211060000
2012,Alberta,Wood product manufacturing,Dollars,596256000
2012,British Columbia,Logging,Dollars,599458000
2012,British Columbia,Paper manufacturing,Dollars,600462000
2012,British Columbia,Wood product manufacturing,Dollars,1266912000
2012,Manitoba,Logging,Dollars,9852000
2012,Manitoba,Paper manufacturing,Dollars,0
2012,Manitoba,Wood product manufacturing,Dollars,92567000
2012,New Brunswick,Logging,Dollars,77019000
2012,New Brunswick,Paper manufacturing,Dollars,0
2012,New Brunswick,Wood product manufacturing,Dollars,157022000
2012,Newfoundland and Labrador,Logging,Dollars,14694000
2012,Newfoundland and Labrador,Paper manufacturing,Dollars,0
2012,Newfoundland and Labrador,Wood product manufacturing,Dollars,13108000
2012,Northwest Territories,Wood product manufacturing,Dollars,0
2012,Nova Scotia,Logging,Dollars,28365000
2012,Nova Scotia,Paper manufacturing,Dollars,0
2012,Nova Scotia,Wood product manufacturing,Dollars,67379000
2012,Ontario,Logging,Dollars,153045000
2012,Ontario,Paper manufacturing,Dollars,1147367000
2012,Ontario,Wood product manufacturing,Dollars,647677000
2012,Prince Edward Island,Logging,Dollars,0
2012,Prince Edward Island,Paper manufacturing,Dollars,0
2012,Prince Edward Island,Wood product manufacturing,Dollars,3559000
2012,Quebec,Logging,Dollars,315905000
2012,Quebec,Paper manufacturing,Dollars,1036310000
2012,Quebec,Wood product manufacturing,Dollars,1015786000
2012,Saskatchewan,Logging,Dollars,15560000
2012,Saskatchewan,Paper manufacturing,Dollars,0
2012,Saskatchewan,Wood product manufacturing,Dollars,74937000
2012,Yukon,Logging,Dollars,0
2012,Yukon,Paper manufacturing,Dollars,0
2012,Yukon,Wood product manufacturing,Dollars,0
2013,Canada,Logging,Dollars,1358577000
2013,Canada,Paper manufacturing,Dollars,3235468000
2013,Canada,Wood product manufacturing,Dollars,4176150000
2013,Alberta,Logging,Dollars,165056000
2013,Alberta,Paper manufacturing,Dollars,0
2013,Alberta,Wood product manufacturing,Dollars,649749000
2013,British Columbia,Logging,Dollars,613919000
2013,British Columbia,Paper manufacturing,Dollars,548844000
2013,British Columbia,Wood product manufacturing,Dollars,1353677000
2013,Manitoba,Logging,Dollars,14160000
2013,Manitoba,Paper manufacturing,Dollars,65251000
2013,Manitoba,Wood product manufacturing,Dollars,0
2013,New Brunswick,Logging,Dollars,72195000
2013,New Brunswick,Paper manufacturing,Dollars,0
2013,New Brunswick,Wood product manufacturing,Dollars,0
2013,Newfoundland and Labrador,Logging,Dollars,0
2013,Newfoundland and Labrador,Paper manufacturing,Dollars,0
2013,Newfoundland and Labrador,Wood product manufacturing,Dollars,12467000
2013,Northwest Territories,Logging,Dollars,0
2013,Northwest Territories,Wood product manufacturing,Dollars,0
2013,Nova Scotia,Logging,Dollars,27824000
2013,Nova Scotia,Paper manufacturing,Dollars,0
2013,Nova Scotia,Wood product manufacturing,Dollars,0
2013,Ontario,Logging,Dollars,150124000
2013,Ontario,Paper manufacturing,Dollars,1112664000
2013,Ontario,Wood product manufacturing,Dollars,678588000
2013,Prince Edward Island,Logging,Dollars,928000
2013,Prince Edward Island,Paper manufacturing,Dollars,0
2013,Prince Edward Island,Wood product manufacturing,Dollars,0
2013,Quebec,Logging,Dollars,276010000
2013,Quebec,Paper manufacturing,Dollars,982194000
2013,Quebec,Wood product manufacturing,Dollars,1050512000
2013,Saskatchewan,Logging,Dollars,19346000
2013,Saskatchewan,Paper manufacturing,Dollars,0
2013,Saskatchewan,Wood product manufacturing,Dollars,0
2013,Yukon,Logging,Dollars,0
2013,Yukon,Paper manufacturing,Dollars,0
2013,Yukon,Wood product manufacturing,Dollars,0
2014,Canada,Logging,Dollars,1503019000
2014,Canada,Paper manufacturing,Dollars,3640846000
2014,Canada,Wood product manufacturing,Dollars,4406329000
2014,Alberta,Logging,Dollars,176619000
2014,Alberta,Paper manufacturing,Dollars,0
2014,Alberta,Wood product manufacturing,Dollars,663296000
2014,British Columbia,Logging,Dollars,721947000
2014,British Columbia,Paper manufacturing,Dollars,670906000
2014,British Columbia,Wood product manufacturing,Dollars,1454371000
2014,Manitoba,Logging,Dollars,14314000
2014,Manitoba,Paper manufacturing,Dollars,0
2014,Manitoba,Wood product manufacturing,Dollars,0
2014,New Brunswick,Logging,Dollars,89815000
2014,New Brunswick,Paper manufacturing,Dollars,0
2014,New Brunswick,Wood product manufacturing,Dollars,175063000
2014,Newfoundland and Labrador,Logging,Dollars,21832000
2014,Newfoundland and Labrador,Paper manufacturing,Dollars,0
2014,Newfoundland and Labrador,Wood product manufacturing,Dollars,0
2014,Northwest Territories,Logging,Dollars,0
2014,Northwest Territories,Wood product manufacturing,Dollars,0
2014,Nova Scotia,Logging,Dollars,28874000
2014,Nova Scotia,Paper manufacturing,Dollars,0
2014,Nova Scotia,Wood product manufacturing,Dollars,0
2014,Ontario,Logging,Dollars,150666000
2014,Ontario,Paper manufacturing,Dollars,1342384000
2014,Ontario,Wood product manufacturing,Dollars,0
2014,Prince Edward Island,Logging,Dollars,1016000
2014,Prince Edward Island,Paper manufacturing,Dollars,0
2014,Prince Edward Island,Wood product manufacturing,Dollars,0
2014,Quebec,Logging,Dollars,279800000
2014,Quebec,Paper manufacturing,Dollars,999209000
2014,Quebec,Wood product manufacturing,Dollars,1109587000
2014,Saskatchewan,Logging,Dollars,17933000
2014,Saskatchewan,Paper manufacturing,Dollars,0
2014,Saskatchewan,Wood product manufacturing,Dollars,0
2014,Yukon,Logging,Dollars,193000
2014,Yukon,Paper manufacturing,Dollars,0
2014,Yukon,Wood product manufacturing,Dollars,929000
2014,Nunavut,Logging,Dollars,2000
2015,Canada,Logging,Dollars,1577158000
2015,Canada,Paper manufacturing,Dollars,3459083000
2015,Canada,Wood product manufacturing,Dollars,4671347000
2015,Alberta,Logging,Dollars,202502000
2015,Alberta,Paper manufacturing,Dollars,211738000
2015,Alberta,Wood product manufacturing,Dollars,606069000
2015,British Columbia,Logging,Dollars,703380000
2015,British Columbia,Paper manufacturing,Dollars,603388000
2015,British Columbia,Wood product manufacturing,Dollars,1524759000
2015,Manitoba,Logging,Dollars,14183000
2015,Manitoba,Paper manufacturing,Dollars,0
2015,Manitoba,Wood product manufacturing,Dollars,98253000
2015,New Brunswick,Logging,Dollars,97796000
2015,New Brunswick,Paper manufacturing,Dollars,0
2015,New Brunswick,Wood product manufacturing,Dollars,0
2015,Newfoundland and Labrador,Logging,Dollars,26354000
2015,Newfoundland and Labrador,Paper manufacturing,Dollars,0
2015,Newfoundland and Labrador,Wood product manufacturing,Dollars,0
2015,Northwest Territories,Logging,Dollars,10000
2015,Northwest Territories,Wood product manufacturing,Dollars,0
2015,Nova Scotia,Logging,Dollars,31920000
2015,Nova Scotia,Paper manufacturing,Dollars,0
2015,Nova Scotia,Wood product manufacturing,Dollars,0
2015,Ontario,Logging,Dollars,197132000
2015,Ontario,Paper manufacturing,Dollars,1144987000
2015,Ontario,Wood product manufacturing,Dollars,846932000
2015,Prince Edward Island,Logging,Dollars,1617000
2015,Prince Edward Island,Paper manufacturing,Dollars,0
2015,Prince Edward Island,Wood product manufacturing,Dollars,0
2015,Quebec,Logging,Dollars,281890000
2015,Quebec,Paper manufacturing,Dollars,1050651000
2015,Quebec,Wood product manufacturing,Dollars,1208074000
2015,Saskatchewan,Logging,Dollars,20207000
2015,Saskatchewan,Paper manufacturing,Dollars,0
2015,Saskatchewan,Wood product manufacturing,Dollars,98299000
2015,Yukon,Logging,Dollars,164000
2015,Yukon,Paper manufacturing,Dollars,0
2015,Yukon,Wood product manufacturing,Dollars,0
2015,Nunavut,Logging,Dollars,3000
