Année,Juridiction,SCIAN,Unité de mesure,Valeur
2012,Canada,Exploitation forestière,Dollars,1363229000
2012,Canada,Fabrication du papier,Dollars,3358406000
2012,Canada,Fabrication de produits en bois,Dollars,3936269000
2012,Alberta,Exploitation forestière,Dollars,148553000
2012,Alberta,Fabrication du papier,Dollars,211060000
2012,Alberta,Fabrication de produits en bois,Dollars,596256000
2012,Colombie-Britannique,Exploitation forestière,Dollars,599458000
2012,Colombie-Britannique,Fabrication du papier,Dollars,600462000
2012,Colombie-Britannique,Fabrication de produits en bois,Dollars,1266912000
2012,Manitoba,Exploitation forestière,Dollars,9852000
2012,Manitoba,Fabrication du papier,Dollars,0
2012,Manitoba,Fabrication de produits en bois,Dollars,92567000
2012,Nouveau-Brunswick,Exploitation forestière,Dollars,77019000
2012,Nouveau-Brunswick,Fabrication du papier,Dollars,0
2012,Nouveau-Brunswick,Fabrication de produits en bois,Dollars,157022000
2012,Terre-Neuve-et-Labrador,Exploitation forestière,Dollars,14694000
2012,Terre-Neuve-et-Labrador,Fabrication du papier,Dollars,0
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Dollars,13108000
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,Dollars,0
2012,Nouvelle-Écosse,Exploitation forestière,Dollars,28365000
2012,Nouvelle-Écosse,Fabrication du papier,Dollars,0
2012,Nouvelle-Écosse,Fabrication de produits en bois,Dollars,67379000
2012,Ontario,Exploitation forestière,Dollars,153045000
2012,Ontario,Fabrication du papier,Dollars,1147367000
2012,Ontario,Fabrication de produits en bois,Dollars,647677000
2012,Île-du-Prince-Édouard,Exploitation forestière,Dollars,0
2012,Île-du-Prince-Édouard,Fabrication du papier,Dollars,0
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,Dollars,3559000
2012,Québec,Exploitation forestière,Dollars,315905000
2012,Québec,Fabrication du papier,Dollars,1036310000
2012,Québec,Fabrication de produits en bois,Dollars,1015786000
2012,Saskatchewan,Exploitation forestière,Dollars,15560000
