Year,Annee,Jurisdiction,Juridiction,ISO,Forest-Product,Produit-forestier,Unit-of-measure,Unite-de-mesure,Value
2000,2000,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1572000
2000,2000,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,75213000
2000,2000,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,9221000
2000,2000,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6313000
2000,2000,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,9685231
2000,2000,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,26871000
2001,2001,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1598000
2001,2001,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,72036000
2001,2001,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8373000
2001,2001,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6120000
2001,2001,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,9989636
2001,2001,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,24869000
2002,2002,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1851000
2002,2002,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,77953000
2002,2002,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8455000
2002,2002,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6331000
2002,2002,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,10380762
2002,2002,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,25521000
2003,2003,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1840400
2003,2003,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,77530800
2003,2003,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8487000
2003,2003,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6456000
2003,2003,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,11090452
2003,2003,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,25963000
2004,2004,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,2001900
2004,2004,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,82759300
2004,2004,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8180000
2004,2004,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,7020000
2004,2004,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,12168260
2004,2004,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,26238000
2005,2005,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,2015800
2005,2005,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,81142300
2005,2005,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,7770000
2005,2005,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6706000
2005,2005,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,12216929
2005,2005,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,25310000
2006,2006,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,2048800
2006,2006,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,79172900
2006,2006,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,7122000
2006,2006,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6106000
2006,2006,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,12393025
2006,2006,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,23440000
2007,2007,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1858200
2007,2007,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,70549200
2007,2007,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,6640000
2007,2007,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,5948000
2007,2007,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,10180775
2007,2007,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,22106000
2008,2008,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1565700
2008,2008,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,56002800
2008,2008,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,5993000
2008,2008,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,5266000
2008,2008,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,6611088
2008,2008,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,20366000
2009,2009,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1219000
2009,2009,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,44232500
2009,2009,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4378000
2009,2009,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,4429000
2009,2009,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,5385501
2009,2009,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,17095000
2010,2010,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1524000
2010,2010,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,51915400
2010,2010,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4639000
2010,2010,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,4070000
2010,2010,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,5992543
2010,2010,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,18536000
2011,2011,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1471100
2011,2011,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,51935000
2011,2011,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4382000
2011,2011,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3774000
2011,2011,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,6247394
2011,2011,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,18287000
2012,2012,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1276300
2012,2012,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,54544200
2012,2012,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,3874000
2012,2012,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3311000
2012,2012,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,6695153
2012,2012,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,17149000
2013,2013,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1388600
2013,2013,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,57510100
2013,2013,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,3972000
2013,2013,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3466000
2013,2013,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,7132294
2013,2013,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,17254000
2014,2014,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,Cubic metres,en metre cube,1504000
2014,2014,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,Cubic metres,en metre cube,57776100
2014,2014,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4014000
2014,2014,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3255000
2014,2014,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,7687126
2014,2014,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,16960000
2015,2015,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,Cubic metres,en metre cube,1724400
2015,2015,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,Cubic metres,en metre cube,62719400
2015,2015,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,3505000
2015,2015,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3036000
2015,2015,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),Cubic metres,en metre cube,7966764.378
2015,2015,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,16551000
2016,2016,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,Cubic metres,en metre cube,1600900
2016,2016,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,Cubic metres,en metre cube,65031400
2016,2016,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,3342000
2016,2016,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,2995000
