Year,Annee,Jurisdiction,Juridiction,ISO,Forest_Product,Produit_forestier,Unit-of-measure,Unite-de-mesure,Value
2000,2000,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1572000
2000,2000,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,75213000
2000,2000,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,9685231
2001,2001,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1598000
2001,2001,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,72036000
2001,2001,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,9989636
2002,2002,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1851000
2002,2002,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,77953000
2002,2002,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,10380762
2003,2003,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1840400
2003,2003,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,77530800
2003,2003,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,11090452
2004,2004,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,2001900
2004,2004,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,82759300
2004,2004,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,12168260
2005,2005,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,2015800
2005,2005,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,81142300
2005,2005,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,12216929
2006,2006,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,2048800
2006,2006,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,79172900
2006,2006,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,12393025
2007,2007,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1858200
2007,2007,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,70549200
2007,2007,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,10180775
2008,2008,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1565700
2008,2008,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,56002800
2008,2008,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,6611088
2009,2009,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1219000
2009,2009,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,44232500
2009,2009,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,5385501
2010,2010,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1524000
2010,2010,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,51915400
2010,2010,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,5992543
2011,2011,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1471100
2011,2011,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,51935000
2011,2011,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,6247394
2012,2012,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1276300
2012,2012,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,54544200
2012,2012,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,6695153
2013,2013,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1388600
2013,2013,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,57510100
2013,2013,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,7132294
2014,2014,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1504000
2014,2014,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,57776100
2014,2014,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,7687126
2015,2015,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1724400
2015,2015,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,62719400
2015,2015,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,7966764.378
2016,2016,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1600900
2016,2016,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,65031400
2016,2016,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,8728664.204
2017,2017,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1488800
2017,2017,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,65129100
2017,2017,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,8917148.133
2018,2018,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1250900
2018,2018,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,64378500
2018,2018,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,9171114.741
2019,2019,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,1032100
2019,2019,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,56659300
2019,2019,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,8453459.969
2020,2020,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,997200
2020,2020,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,54718300
2020,2020,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,8301256.985
2021,2021,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,880100
2021,2021,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,55841700
2021,2021,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,8938385.759
2022,2022,Canada,Canada,CA,Lumber - hardwood,Bois d'oeuvre - bois feuillus,cubic metres,en metre cube,858800
2022,2022,Canada,Canada,CA,Lumber - softwood,Bois d'oeuvre - bois resineux,cubic metres,en metre cube,50552600
2022,2022,Canada,Canada,CA,Structural panels (Plywood and Oriented Strandboard),Panneaux de construction (contreplaques et panneaux de particules orientees),cubic metres,en metre cube,8872903.079
