Year,Annee,Jurisdiction,Juridiction,ISO,Forest_Product,Produit_forestier,Unit-of-measure,Unite-de-mesure,Value
2000,2000,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,9221000
2000,2000,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6313000
2000,2000,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,26871000
2001,2001,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8373000
2001,2001,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6120000
2001,2001,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,24869000
2002,2002,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8455000
2002,2002,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6331000
2002,2002,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,25521000
2003,2003,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8487000
2003,2003,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6456000
2003,2003,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,25963000
2004,2004,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,8180000
2004,2004,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,7020000
2004,2004,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,26238000
2005,2005,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,7770000
2005,2005,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6706000
2005,2005,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,25310000
2006,2006,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,7122000
2006,2006,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,6106000
2006,2006,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,23440000
2007,2007,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,6640000
2007,2007,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,5948000
2007,2007,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,22106000
2008,2008,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,5993000
2008,2008,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,5266000
2008,2008,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,20366000
2009,2009,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4378000
2009,2009,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,4429000
2009,2009,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,17095000
2010,2010,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4639000
2010,2010,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,4070000
2010,2010,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,18536000
2011,2011,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4382000
2011,2011,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3774000
2011,2011,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,18287000
2012,2012,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,3874000
2012,2012,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3311000
2012,2012,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,17149000
2013,2013,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,3972000
2013,2013,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3466000
2013,2013,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,17254000
2014,2014,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,4014000
2014,2014,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,3255000
2014,2014,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,16960000
2015,2015,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,3505000
