Year,Annee,ISO,Jurisdiction,Juridiction,Management,Amenagement,Harvesting-method,Methode-de-recolte,Tenure-En,Tenure-Fr,Area,Superficie
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Unspecified,Indeterminee,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Other,Autre,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Unspecified,Indeterminee,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Provincial land,Terres provinciales,72390,72390
2000,2000,AB,Alberta,Alberta,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Provincial land,Terres provinciales,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Other,Autre,Provincial land,Terres provinciales,0,0
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Provincial land,Terres provinciales,0,0
2000,2000,AB,Alberta,Alberta,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,640,640
2000,2000,AB,Alberta,Alberta,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Provincial land,Terres provinciales,458,458
2000,2000,AB,Alberta,Alberta,Unspecified,Indeterminee,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Unspecified,Indeterminee,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Private land,Terres privees,540,540
2000,2000,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Private land,Terres privees,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Other,Autre,Private land,Terres privees,477,477
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Private land,Terres privees,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Private land,Terres privees,25,25
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Private land,Terres privees,21,21
2000,2000,BC,British Columbia,Colombie-Britannique,Unspecified,Indeterminee,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Provincial land,Terres provinciales,189778,189778
2000,2000,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Provincial land,Terres provinciales,929,929
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Other,Autre,Provincial land,Terres provinciales,7014,7014
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Provincial land,Terres provinciales,1038,1038
2000,2000,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,7902,7902
2000,2000,BC,British Columbia,Colombie-Britannique,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Provincial land,Terres provinciales,4839,4839
2000,2000,BC,British Columbia,Colombie-Britannique,Unspecified,Indeterminee,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indeterminee,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Other,Autre,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indeterminee,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Provincial land,Terres provinciales,15633,15633
2000,2000,MB,Manitoba,Manitoba,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Provincial land,Terres provinciales,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Other,Autre,Provincial land,Terres provinciales,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Provincial land,Terres provinciales,0,0
2000,2000,MB,Manitoba,Manitoba,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,0
2000,2000,MB,Manitoba,Manitoba,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Provincial land,Terres provinciales,0,0
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indeterminee,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Federal land,Terres federales,441,441
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Federal land,Terres federales,15,15
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Private land,Terres privees,45963,45963
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Private land,Terres privees,1199,1199
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Other,Autre,Private land,Terres privees,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Private land,Terres privees,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Private land,Terres privees,15552,15552
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Private land,Terres privees,4434,4434
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Provincial land,Terres provinciales,35848,35848
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Provincial land,Terres provinciales,1276,1276
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Other,Autre,Provincial land,Terres provinciales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Provincial land,Terres provinciales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,2385,2385
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Provincial land,Terres provinciales,6301,6301
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indeterminee,Unspecified,Indeterminee,Federal land,Terres federales,7,7
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Private land,Terres privees,2195,2195
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Other,Autre,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Seed tree,Avec reserve de semenciers,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Uneven-aged management,Amenagement inequienne,Selection,Coupe de jardinage,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Shelterwood,Progressive,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indeterminee,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Amenagement equienne,Clearcut - 1-stage and 2-stage,Coupe a blanc - 1-etape et 2-etape,Provincial land,Terres provinciales,21000,21000
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Uneven-aged management,Amenagement inequienne,Commercial thinning,eclaircie commerciale,Provincial land,Terres provinciales,14,14
