Year,Annee,ISO,Jurisdiction,Juridiction,Category,Categorie,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Volume
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Softwoods,Resineux,Provincial land,Terres provinciales,13921149
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Softwoods,Resineux,Private land,Terres privees,277631
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Provincial land,Terres provinciales,3218899
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Private land,Terres privees,852242
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Softwoods,Resineux,Provincial land,Terres provinciales,0
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Hardwoods,Feuillus,Provincial land,Terres provinciales,4328045
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Hardwoods,Feuillus,Private land,Terres privees,779848
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Provincial land,Terres provinciales,34702
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Private land,Terres privees,99
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Provincial land,Terres provinciales,269
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Provincial land,Terres provinciales,3958
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Provincial land,Terres provinciales,1423
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Pulpwood,Bois a pate,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,AB,Alberta,Alberta,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Federal land,Terres federales,0
