Year,Annee,ISO,Jurisdiction,Juridiction,Tenure-En,Tenure-Fr,Application-Method,Methode-d'application,Area,Superficie
2000,2000,AB,Alberta,Alberta,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,AB,Alberta,Alberta,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,AB,Alberta,Alberta,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aerien,905,905
2000,2000,AB,Alberta,Alberta,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,69,69
2000,2000,AB,Alberta,Alberta,Private land,Terres privees,Ground,Sol,0,0
2000,2000,AB,Alberta,Alberta,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,AB,Alberta,Alberta,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Aerial,Aerien,112,112
2000,2000,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Ground,Sol,285,285
2000,2000,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Ground,Sol,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,MB,Manitoba,Manitoba,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,MB,Manitoba,Manitoba,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,MB,Manitoba,Manitoba,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Aerial,Aerien,550,550
2000,2000,MB,Manitoba,Manitoba,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,MB,Manitoba,Manitoba,Private land,Terres privees,Ground,Sol,0,0
2000,2000,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,MB,Manitoba,Manitoba,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Ground,Sol,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privees,Ground,Sol,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Private land,Terres privees,Aerial,Aerien,532,532
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Private land,Terres privees,Ground,Sol,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Ground,Sol,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,NU,Nunavut,Nunavut,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,NU,Nunavut,Nunavut,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,NU,Nunavut,Nunavut,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,ON,Ontario,Ontario,Federal land,Terres federales,Aerial,Aerien,0,0
