Year,Annee,ISO,Jurisdiction,Juridiction,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Area,Superficie
2000,2000,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Pine,Pin,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Spruce,epinette,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,6,6
2000,2000,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,0
2000,2000,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,167,167
2000,2000,AB,Alberta,Alberta,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,21,21
2000,2000,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,26465,26465
2000,2000,AB,Alberta,Alberta,Spruce,epinette,Provincial land,Terres provinciales,33283,33283
2000,2000,AB,Alberta,Alberta,Unspecified,Indeterminee,Provincial land,Terres provinciales,106,106
2000,2000,BC,British Columbia,Colombie-Britannique,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pine,Pin,Federal land,Terres federales,54,54
2000,2000,BC,British Columbia,Colombie-Britannique,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Douglas-fir,Douglas taxifolie,Private land,Terres privees,435,435
2000,2000,BC,British Columbia,Colombie-Britannique,Fir,Sapin,Private land,Terres privees,2,2
2000,2000,BC,British Columbia,Colombie-Britannique,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,45,45
2000,2000,BC,British Columbia,Colombie-Britannique,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,376,376
2000,2000,BC,British Columbia,Colombie-Britannique,Pine,Pin,Private land,Terres privees,30,30
2000,2000,BC,British Columbia,Colombie-Britannique,Spruce,epinette,Private land,Terres privees,2,2
2000,2000,BC,British Columbia,Colombie-Britannique,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,BC,British Columbia,Colombie-Britannique,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,11474,11474
2000,2000,BC,British Columbia,Colombie-Britannique,Fir,Sapin,Provincial land,Terres provinciales,3924,3924
2000,2000,BC,British Columbia,Colombie-Britannique,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,293,293
2000,2000,BC,British Columbia,Colombie-Britannique,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,17380,17380
2000,2000,BC,British Columbia,Colombie-Britannique,Pine,Pin,Provincial land,Terres provinciales,82871,82871
2000,2000,BC,British Columbia,Colombie-Britannique,Spruce,epinette,Provincial land,Terres provinciales,44923,44923
2000,2000,BC,British Columbia,Colombie-Britannique,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,MB,Manitoba,Manitoba,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,MB,Manitoba,Manitoba,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Pine,Pin,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Spruce,epinette,Private land,Terres privees,0,0
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indeterminee,Private land,Terres privees,0,0
