Year,Annee,Jurisdiction,Juridiction,ISO,Forest-certification-by-type,Certification-forestiere-par-type,Area,Superficie
2000,2000,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,2175000,2175000
2000,2000,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,0,0
2000,2000,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2000,2000,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,2175000,2175000
2000,2000,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,5285000,5285000
2000,2000,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,30000,30000
2000,2000,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1040000,1040000
2000,2000,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,4215000,4215000
2000,2000,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,2372508,2372508
2000,2000,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,7508,7508
2000,2000,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,325000,325000
2000,2000,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,2040000,2040000
2000,2000,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,0,0
2000,2000,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,0,0
2000,2000,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2000,2000,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2000,2000,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,0,0
2000,2000,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,0,0
2000,2000,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2000,2000,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,0,0
2000,2000,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,715000,715000
2000,2000,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,0,0
2000,2000,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,715000,715000
2000,2000,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2000,2000,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,0,0
2000,2000,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,0,0
