Year,Type,Value
2007,Bioenergy and biofuels (from forestry biomass),26
2007,Extraction,28153
2007,Other bioproducts (from forestry biomass),236
2007,Primary forestry bioproducts,261.25
2007,Primary manufacturing,103048.25
2007,Primary pulp and paper products,40486
2007,Primary sawmill and wood products,62301
2007,Secondary paper products,35077
2007,Secondary wood products and furniture,91751
2007,Services,24816.75
2007,Services and custom work,8838.25
2007,Total commodities,291684.25
2008,Bioenergy and biofuels (from forestry biomass),24
2008,Extraction,26031
2008,Other bioproducts (from forestry biomass),192
2008,Primary forestry bioproducts,216
2008,Primary manufacturing,89300
2008,Primary pulp and paper products,36291
2008,Primary sawmill and wood products,52793
2008,Secondary paper products,31946
2008,Secondary wood products and furniture,85238.75
2008,Services,23251.25
2008,Services and custom work,8210
2008,Total commodities,263977
2009,Bioenergy and biofuels (from forestry biomass),21
2009,Extraction,21899.75
2009,Other bioproducts (from forestry biomass),347
2009,Primary forestry bioproducts,368
2009,Primary manufacturing,76058.5
2009,Primary pulp and paper products,31657.25
2009,Primary sawmill and wood products,44033.25
2009,Secondary paper products,30679
2009,Secondary wood products and furniture,74579.25
2009,Services,22300
2009,Services and custom work,7362.25
2009,Total commodities,232878.75
2010,Bioenergy and biofuels (from forestry biomass),75.5
2010,Extraction,21418
2010,Other bioproducts (from forestry biomass),269
2010,Primary forestry bioproducts,344.75
2010,Primary manufacturing,81541.75
2010,Primary pulp and paper products,31018
2010,Primary sawmill and wood products,50179
2010,Secondary paper products,28964
2010,Secondary wood products and furniture,71334.25
2010,Services,22994.25
2010,Services and custom work,7270
2010,Total commodities,233522.25
2011,Bioenergy and biofuels (from forestry biomass),76
2011,Extraction,22761
2011,Other bioproducts (from forestry biomass),360
2011,Primary forestry bioproducts,436.25
2011,Primary manufacturing,76655
2011,Primary pulp and paper products,28776.75
2011,Primary sawmill and wood products,47442
2011,Secondary paper products,26170
2011,Secondary wood products and furniture,70642.25
2011,Services,23492.75
2011,Services and custom work,7386
2011,Total commodities,227107
2012,Bioenergy and biofuels (from forestry biomass),117
2012,Extraction,19885.25
2012,Other bioproducts (from forestry biomass),267
2012,Primary forestry bioproducts,384
2012,Primary manufacturing,76096.75
2012,Primary pulp and paper products,26459
2012,Primary sawmill and wood products,49253.75
2012,Secondary paper products,26389
2012,Secondary wood products and furniture,70582.75
2012,Services,21875.75
2012,Services and custom work,6978
2012,Total commodities,221807.5
2013,Bioenergy and biofuels (from forestry biomass),130
